Movie,Director,Running time,Actor 1,Actor 2,Actor 3,Genre,Budget,Box Office,Actors Box Office %,Director Box Office %,Earnings,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,Release year,IMDb score
Blonde Ambition,Scott Marshall,93,Drew Fuller,Drew Waters,Larry Miller,Comedy,10000000,10000000,16.67,0.0,0,0,0,2007,3.9
Blood Ties,Guillaume Canet,144,Mila Kunis,Lili Taylor,Billy Crudup,Crime,25500000,2600000,27.77,0.0,-22900000,0,0,2013,6.5
Bloodsport,Newt Arnold,92,Bolo Yeung,Donald Gibb,Ken Siu,Action,1100000,11000000,100.0,100.0,9900000,0,0,1988,6.8
Bloody Sunday,Paul Greengrass,107,James Nesbitt,Nicholas Farrell,Tim Pigott-Smith,Drama,2000000,5000000,100.0,85.71,3000000,2,0,2002,7.7
Blow Out,Brian De Palma,107,Nancy Allen,Dennis Franz,John McMartin,Mystery,18000000,12000000,50.0,50.0,-6000000,0,0,1981,7.4
Blue Car,Karen Moncrieff,88,Frances Fisher,Agnes Bruckner,A.J. Buckley,Drama,1000000,470000,33.33,0.0,-530000,0,0,2002,6.7
Blue Like Jazz,Steve Taylor,108,Jason Marsden,Marshall Allman,Eric Lange,Comedy,1200000,4200000,66.67,100.0,3000000,0,0,2012,6.0
Blue Ruin,Jeremy Saulnier,90,Devin Ratray,Eve Plumb,Amy Hargreaves,Crime,1066167,1000000,33.33,0.0,-66167,0,0,2013,7.1
Blue Valentine,Derek Cianfrance,112,Ryan Gosling,Mike Vogel,John Doman,Drama,3500000,16000000,79.36,100.0,12500000,2,0,2010,7.4
Boat Trip,Mort Nathan,97,Vivica A. Fox,Lin Shaye,Bob Gunton,Comedy,20000000,15000000,60.71,0.0,-5000000,0,0,2002,4.9
Bobby,Emilio Estevez,112,Anthony Hopkins,Nick Cannon,Brian Geraghty,Drama,14000000,20000000,66.67,0.0,6000000,2,0,2006,7.0
Body Double,Brian De Palma,114,Melanie Griffith,Dennis Franz,Gregg Henry,Mystery,10000000,84000000,38.88,50.0,74000000,0,0,1984,6.8
Bodyguards and Assassins,Teddy Chan,139,Bingbing Fan,Simon Yam,Nicholas Tse,Action,23000000,53000000,100.0,50.0,30000000,0,0,2009,6.9
Bon voyage,Jean-Paul Rappeneau,114,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,Comedy,20000000,50000000,50.0,100.0,30000000,3,1,2003,6.9
Boogeyman,Stephen Kay,89,Barry Watson,Skye McCole Bartusiak,Charles Mesure,Thriller,20000000,67000000,66.67,33.33,47000000,0,0,2005,4.1
Boogie Nights,Paul Thomas Anderson,155,Don Cheadle,Nicole Ari Parker,Nina Hartley,Drama,15000000,43000000,100.0,33.33,28000000,6,1,1997,7.9
Book of Shadows: Blair Witch 2,Joe Berlinger,90,Kim Director,Erica Leerhsen,Kurt Loder,Adventure,15000000,47000000,100.0,100.0,32000000,0,0,2000,4.0
Boom Town,Jack Conway,119,Hedy Lamarr,Spencer Tracy,Claudette Colbert,Adventure,1614000,5000000,100.0,100.0,3386000,2,0,1940,7.1
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,82,Luenell,Ken Davitian,Chester,Comedy,18000000,262000000,100.0,75.0,244000000,3,0,2006,7.3
Born on the Fourth of July,Oliver Stone,145,Tom Cruise,Tom Berenger,Stephen Baldwin,Biography,14000000,162000000,91.67,35.71,148000000,10,4,1989,7.2
Bottle Shock,Randall Miller,110,Alan Rickman,Freddy Rodríguez,Greg Collins,Comedy,5000000,1000000,11.11,50.0,-4000000,0,0,2008,6.8
Bound,Lana Wachowski,109,Christopher Meloni,Kevin Michael Richardson,Peter Spellos,Crime,4500000,7000000,33.33,50.0,2500000,3,0,1996,7.4
Bowling for Columbine,Michael Moore,120,Michael Moore,Dick Clark,Bill Clinton,Documentary,4000000,58000000,66.67,100.0,54000000,9,4,2002,8.0
Boyhood,Richard Linklater,165,Ellar Coltrane,Lorelei Linklater,Libby Villari,Drama,4000000,44000000,100.0,50.0,40000000,10,4,2014,8.0
Boys and Girls,Robert Iscove,94,Alyson Hannigan,Amanda Detmer,Tsianina Joelson,Comedy,16000000,31600000,0.0,66.67,15600000,1,0,2000,5.3
Boys Don't Cry,Kimberly Peirce,118,Alicia Goranson,Brendan Sexton III,Jeannetta Arnette,Biography,2000000,2000000,0.0,50.0,0,16,5,1999,7.6
Boyz n the Hood,John Singleton,112,John Cothran,Lloyd Avery II,Na'Blonka Durden,Crime,6000000,57000000,100.0,42.85,51000000,3,0,1991,7.8
Bran Nue Dae,Rachel Perkins,88,Deborah Mailman,Magda Szubanski,Jessica Mauboy,Comedy,6500000,7000000,33.33,0.0,500000,1,0,2009,6.3
Brazil,Terry Gilliam,142,Robert De Niro,Bob Hoskins,Jim Broadbent,Sci-Fi,15000000,9800000,46.66,42.85,-5200000,2,0,1985,8.0
Brick Mansions,Camille Delamarre,100,Paul Walker,Robert Maillet,RZA,Action,28000000,73000000,100.0,100.0,45000000,0,0,2014,5.7
Bride & Prejudice,Gurinder Chadha,122,Indira Varma,Martin Henderson,Anupam Kher,Comedy,7000000,6100000,33.33,0.0,-900000,0,0,2004,6.2
Bride of Chucky,Ronny Yu,89,Alexis Arquette,Park Bench,Vince Corazza,Comedy,25000000,50000000,100.0,50.0,25000000,0,0,1998,5.3
Bridge to Terabithia,Gabor Csupo,96,Josh Hutcherson,Zooey Deschanel,Bailee Madison,Adventure,17000000,138000000,83.33,100.0,121000000,0,0,2007,7.2
Bridget Jones's Diary,Sharon Maguire,97,Colin Firth,Jim Broadbent,Shirley Henderson,Comedy,26000000,282000000,28.88,100.0,256000000,7,1,2001,6.7
Brigham City,Richard Dutcher,119,Wilford Brimley,Frank Gerrish,Rick Macy,Crime,1000000,1000000,33.33,0.0,0,0,0,2001,7.2
Bright Lights Big City,James Bridges,107,Dianne Wiest,Phoebe Cates,Swoosie Kurtz,Drama,25000000,16000000,22.22,0.0,-9000000,0,0,1988,5.6
Bright Star,Jane Campion,119,Abbie Cornish,Paul Schneider,Samuel Roukin,Biography,8500000,5440000,0.0,33.33,-3060000,0,0,2009,7.0
Bring It On,Peyton Reed,98,Kirsten Dunst,Lindsay Sloane,Clare Kramer,Comedy,10000000,90000000,90.47,100.0,80000000,0,0,2000,5.9
Brokedown Palace,Jonathan Kaplan,100,John Doe,Tom Amandes,Daniel Lapaine,Drama,25000000,10700000,0.0,0.0,-14300000,0,0,1999,6.4
Brooklyn Rules,Michael Corrente,99,Jerry Ferrara,Tony Devon,Alexa Havins,Crime,8000000,9000000,16.67,0.0,1000000,0,0,2007,6.4
Brooklyn,John Crowley,111,Julie Walters,Fiona Glascott,Eva Birthistle,Drama,11000000,62000000,100.0,100.0,51000000,13,4,2015,7.5
Brother,Takeshi Kitano,114,Omar Epps,Tatyana Ali,James Shigeta,Crime,10000000,10000000,33.33,0.0,0,0,0,2000,7.2
Brothers,Jim Sheridan,105,Natalie Portman,Jake Gyllenhaal,Bailee Madison,Thriller,26000000,40000000,51.11,0.0,14000000,2,0,2009,7.1
Brown Sugar,Rick Famuyiwa,109,Boris Kodjoe,Sanaa Lathan,Wendell Pierce,Comedy,8000000,27800000,72.22,75.0,19800000,0,0,2002,6.5
Bubba Ho-Tep,Don Coscarelli,92,Daniel Roebuck,Ossie Davis,Ella Joyce,Comedy,1000000,1200000,55.55,33.33,200000,0,0,2002,7.2
Bucky Larson: Born to Be a Star,Tom Brady,97,Don Johnson,Kevin Nealon,Nicholas Turturro,Comedy,10000000,2400000,27.77,0.0,-7600000,0,0,2011,3.3
Buen Día Ramón,Jorge Ramírez Suárez,120,Hector Kotsifakis,Adriana Barraza,Arcelia Ramírez,Drama,4000000,11670000,100.0,100.0,7670000,0,0,2013,7.7
Buffalo Soldiers,Gregor Jordan,98,Dean Stockwell,Scott Glenn,Leon,Comedy,15000000,2000000,41.67,0.0,-13000000,0,0,2001,6.9
Buried,Rodrigo Cortés,95,Ryan Reynolds,Samantha Mathis,Erik Palladino,Drama,3000000,19000000,100.0,50.0,16000000,0,0,2010,7.0
Burnt,John Wells,101,Bradley Cooper,Omar Sy,Riccardo Scamarcio,Comedy,20000000,36100000,55.55,50.0,16100000,0,0,2015,6.6
But I'm a Cheerleader,Jamie Babbit,85,Natasha Lyonne,Clea DuVall,Eddie Cibrian,Comedy,1200000,2660000,69.44,100.0,1460000,0,0,1999,6.6
Butch Cassidy and the Sundance Kid,George Roy Hill,110,Katharine Ross,Ted Cassidy,Kenneth Mars,Biography,6000000,102000000,83.33,100.0,96000000,14,4,1969,8.1
C.H.U.D.,Douglas Cheek,96,Daniel Stern,John Heard,Sam McMurray,Horror,1250000,4000000,52.77,100.0,2750000,0,0,1984,5.5
Caddyshack,Harold Ramis,98,Bill Murray,Rodney Dangerfield,Brian Doyle-Murray,Comedy,6000000,40000000,50.0,50.0,34000000,0,0,1980,7.4
Cadillac Records,Darnell Martin,109,Cedric the Entertainer,Veronika Dash,Tammy Blanchard,Biography,12000000,8600000,20.0,0.0,-3400000,0,0,2008,7.0
Call + Response,Justin Dillon,86,Matisyahu,Natasha Bedingfield,Madeleine Albright,Documentary,200000,100000,0.0,0.0,-100000,1,0,2008,7.5
Can't Hardly Wait,Harry Elfont,100,Ethan Embry,Lauren Ambrose,Charlie Korsmo,Comedy,10000000,25000000,33.33,50.0,15000000,0,0,1998,6.5
Can't Stop the Music,Nancy Walker,124,Steve Guttenberg,Randy Jones,Caitlyn Jenner,Biography,20000000,2000000,11.11,0.0,-18000000,0,0,1980,4.5
Capricorn One,Peter Hyams,130,David Huddleston,Sam Waterston,Hal Holbrook,Sci-Fi,5000000,40000000,66.67,50.0,35000000,0,0,1977,6.8
Captive,Jerry Jameson,97,David Oyelowo,Leonor Varela,Sydelle Noel,Crime,2000000,4000000,66.67,50.0,2000000,0,0,2015,5.3
Caramel,Nadine Labaki,95,Yasmine Al Massri,Adel Karam,Nadine Labaki,Comedy,1300000,14000000,100.0,100.0,12700000,0,0,2007,7.2
Carnage,Roman Polanski,80,Kate Winslet,Christoph Waltz,Julie Adams,Comedy,25000000,28000000,50.0,33.33,3000000,0,0,2011,7.2
Carrie,Kimberly Peirce,100,Chloë Grace Moretz,Judy Greer,Portia Doubleday,Drama,30000000,84000000,77.00,50.0,54000000,0,0,2013,5.9
Casa de mi Padre,Matt Piedmont,84,Will Ferrell,Adrian Martinez,Luis E. Carazo,Western,6000000,8500000,50.0,0.0,2500000,0,0,2012,5.5
Casablanca,Michael Curtiz,82,Humphrey Bogart,Claude Rains,Conrad Veidt,Drama,950000,200000000,100.0,100.0,199050000,11,8,1942,8.6
Case 39,Christian Alvart,109,Bradley Cooper,Callum Rennie,Vanesa Tomasino,Horror,27000000,28000000,30.55,0.0,1000000,0,0,2009,6.2
Casino Jack,George Hickenlooper,108,Kevin Spacey,Eric Schweig,Christian Campbell,Biography,15000000,10000000,50.0,0.0,-5000000,2,0,2010,6.2
Cat on a Hot Tin Roof,Richard Brooks,108,Burl Ives,Judith Anderson,Jack Carson,Drama,3000000,10000000,100.0,100.0,7000000,6,0,1958,8.1
Cat People,Paul Schrader,93,Ed Begley Jr.,Ruby Dee,John Heard,Horror,18000000,21000000,83.33,0.0,3000000,1,0,1982,6.1
Catch a Fire,Phillip Noyce,98,Derek Luke,Terry Pheto,Bonnie Henna,Biography,14000000,8000000,16.67,66.67,-6000000,0,0,2006,6.7
Catch-22,Mike Nichols,122,Bob Newhart,Bob Balaban,Martin Balsam,Comedy,18000000,21000000,58.33,16.67,3000000,1,0,1970,7.2
Cecil B. DeMented,John Waters,87,Alicia Witt,Melanie Griffith,Kevin Nealon,Comedy,10000000,1700000,25.0,0.0,-8300000,0,0,2000,6.2
Center Stage,Nicholas Hytner,115,Amanda Schull,Susan May Pratt,Ethan Stiefel,Drama,18000000,23000000,0.0,66.67,5000000,0,0,2000,6.7
Chain Letter,Deon Taylor,88,Matt Cohen,Betsy Russell,Noah Segan,Horror,5000000,5800000,33.33,0.0,800000,0,0,2009,4.1
Chariots of Fire,Hugh Hudson,125,Alice Krige,Ben Cross,John Gielgud,Biography,5500000,59000000,53.33,50.0,53500000,9,4,1981,7.2
Charlie Bartlett,Jon Poll,97,Robert Downey Jr.,Megan Park,Hope Davis,Comedy,12000000,5000000,72.22,0.0,-7000000,0,0,2007,7.0
Chasing Amy,Kevin Smith,113,Matt Damon,Ethan Suplee,Joey Lauren Adams,Comedy,250000,12000000,61.0,41.66,11750000,1,0,1997,7.3
Chasing Mavericks,Michael Apted,116,Gerard Butler,Abigail Spencer,Leven Rambin,Biography,20000000,25000000,11.11,40.0,5000000,3,1,2012,7.2
Checkmate,Timothy Woodward Jr.,97,Katrina Law,Johnny Messner,Michael Paré,Action,1500000,500000,33.33,0.0,-1000000,0,0,2015,3.1
Chéri,Stephen Frears,100,Tom Burke,Iben Hjejle,Gaye Brown,Comedy,23000000,4000000,0.0,54.54,-19000000,0,0,2009,6.2
Chernobyl Diaries,Bradley Parker,86,Jesse McCartney,Ingrid Bolsø Berdal,Jonathan Sadowski,Horror,1000000,37000000,100.0,100.0,36000000,0,0,2012,5.0
Chicago Overcoat,Brian Caunter,94,Mike Starr,Stacy Keach,Frank Vincent,Action,3000000,250000,33.33,0.0,-2750000,0,0,2009,6.2
Children of Heaven,Majid Majidi,89,Bahare Seddiqi,Amir Farrokh Hashemian,Mohammad Amir Naji,Drama,180000,1900000,100.0,100.0,1720000,1,0,1997,8.5
Child's Play 2,John Lafia,72,Jenny Agutter,Beth Grant,Greg Germann,Horror,13000000,35000000,58.33,100.0,22000000,0,0,1990,5.7
Child's Play,Tom Holland,87,Catherine Hicks,Alex Vincent,Dinah Manoff,Horror,9000000,44000000,100.0,50.0,35000000,0,0,1988,6.5
Chocolat,Lasse Hallström,121,Lena Olin,Leslie Caron,Hugh O'Conor,Drama,25000000,152000000,66.67,55.55,127000000,8,1,2000,7.3
Choke,Clark Gregg,92,Anjelica Huston,Matt Gerald,Jonah Bobo,Comedy,3000000,2900000,33.33,0.0,-100000,0,0,2008,6.5
Christmas Mail,John Murlowski,89,Ashley Scott,Piper Mackenzie Harris,Lochlyn Munro,Comedy,2500000,1000000,0.0,0.0,-1500000,0,0,2010,5.8
Chronicle,Josh Trank,89,Michael Kelly,Alex Russell,Ashley Hinshaw,Sci-Fi,12000000,125000000,100.0,33.33,113000000,0,0,2012,7.1
Chuck & Buck,Miguel Arteta,96,Lupe Ontiveros,Mike White,Chris Weitz,Comedy,250000,2000000,66.67,75.0,1750000,0,0,2000,6.6
City Island,Raymond De Felitta,104,Ezra Miller,Curtiss Cook,Dominik García-Lorido,Comedy,6000000,11000000,50.0,0.0,5000000,0,0,2009,7.4
City of Ghosts,Matt Dillon,116,Kirk Fox,Shawn Andrews,Rob Campbell,Crime,17500000,5000000,0.0,0.0,-12500000,0,0,2002,6.0
City of Life and Death,Chuan Lu,132,Ye Liu,Yuanyuan Gao,Ryu Kohata,Drama,12000000,2000000,0.0,0.0,-10000000,0,0,2009,7.7
Class of 1984,Mark L. Lester,98,Roddy McDowall,Perry King,Timothy Van Patten,Action,4300000,15000000,100.0,75.0,10700000,0,0,1982,6.6
Clay Pigeons,David Dobkin,104,Janeane Garofalo,Vince Vieluf,Kevin Rahm,Comedy,8000000,2000000,33.33,0.0,-6000000,0,0,1998,6.6
Clerks II,Kevin Smith,97,Ethan Suplee,Jason Mewes,Brian O'Halloran,Comedy,5000000,27000000,44.0,41.66,22000000,0,0,2006,7.4
Clockstoppers,Jonathan Frakes,94,Michael Biehn,Paula Garcés,Jason George,Action,26000000,38700000,33.33,50.0,12700000,0,0,2002,5.2
Close Encounters of the Third Kind,Steven Spielberg,135,Bob Balaban,Teri Garr,Melinda Dillon,Sci-Fi,19400870,515000000,91.67,84.60,495599130,12,2,1977,7.7
Closer,Mike Nichols,98,Natalie Portman,Julia Roberts,Colin Stinton,Drama,27000000,115000000,83.33,16.67,88000000,12,2,2004,7.3
Cloverfield,Matt Reeves,85,Mike Vogel,Ben Feldman,Liza Lapira,Action,25000000,170000000,100.0,50.0,145000000,0,0,2008,7.0
Club Dread,Jay Chandrasekhar,119,Brittany Daniel,Lindsay Price,Jay Chandrasekhar,Comedy,8550000,8010000,44.0,50.0,-540000,0,0,2004,5.6
Code 46,Michael Winterbottom,93,Samantha Morton,Om Puri,Natalie Mendoza,Drama,7500000,700000,16.67,0.0,-6800000,0,0,2003,6.3
Code Name: The Cleaner,Les Mayfield,91,Callum Rennie,Will Patton,Cedric the Entertainer,Action,20000000,10000000,5055555555555.55,20.0,-10000000,0,0,2007,4.5
College,Deb Hagan,94,Drake Bell,Alona Tal,Haley Bennett,Comedy,6500000,5600000,38.88,0.0,-900000,0,0,2008,4.6
Come Early Morning,Joey Lauren Adams,97,Tim Blake Nelson,Diane Ladd,Ritchie Montgomery,Drama,6000000,1200000,33.33,0.0,-4800000,0,0,2006,6.2
Commando,Mark L. Lester,75,Bill Duke,Vernon Wells,Rae Dawn Chong,Action,10000000,57000000,33.33,75.0,47000000,0,0,1985,6.7
Compadres,Enrique Begne,101,Kevin Pollak,Héctor Jiménez,Erick Elias,Action,3000000,3000000,55.55,0.0,0,0,0,2016,5.0
Compliance,Craig Zobel,90,Dreama Walker,Matt Servitto,James McCaffrey,Biography,270000,600000,66.67,100.0,330000,0,0,2012,6.4
Conan the Barbarian,John Milius,129,William Smith,Mako,Sandahl Bergman,Adventure,20000000,130000000,77.00,75.0,110000000,0,0,1982,6.9
Conan the Destroyer,Richard Fleischer,103,Mako,Olivia d'Abo,Grace Jones,Action,18000000,70000000,88.89,80.0,52000000,0,0,1984,5.8
Confessions of a Dangerous Mind,George Clooney,113,Dick Clark,David Julian Hirsh,Jennifer Hall,Biography,29000000,33000000,33.33,60.0,4000000,5,1,2002,7.1
Confessions of a Teenage Drama Queen,Sara Sugarman,89,Adam Garcia,Carol Kane,Glenne Headly,Comedy,15000000,29000000,16.67,0.0,14000000,2,0,2004,4.6
Confidence,James Foley,97,Louis Lombardi,Brian Van Holt,Leland Orser,Crime,15000000,12400000,44.0,0.0,-2600000,0,0,2003,6.7
Connie and Carla,Michael Lembeck,108,Debbie Reynolds,Nia Vardalos,Dash Mihok,Comedy,20000000,9400000,66.67,50.0,-10600000,0,0,2004,6.3
Conquest of the Planet of the Apes,J. Lee Thompson,88,Roddy McDowall,Gordon Jump,John Randolph,Sci-Fi,1700000,9300000,100.0,100.0,7600000,0,0,1972,6.1
Conversations with Other Women,Hans Canosa,84,Olivia Wilde,Thomas Lennon,Nora Zehetner,Comedy,450000,143000,72.22,0.0,-307000,0,0,2005,7.1
Cool Runnings,Jon Turteltaub,98,Doug E. Doug,Leon,Malik Yoba,Adventure,15000000,178000000,33.33,42.85,163000000,0,0,1993,6.9
Cop Land,James Mangold,120,Robert De Niro,Sylvester Stallone,Janeane Garofalo,Crime,10000000,44000000,67.77,75.0,34000000,0,0,1997,6.9
Copycat,Jon Amiel,123,William McNamara,Holly Hunter,Harry Connick Jr.,Crime,20000000,32900000,33.33,0.0,12900000,0,0,1995,6.6
Corky Romano,Rob Pritts,86,Vincent Pastore,Vinessa Shaw,Peter Berg,Comedy,11000000,26000000,66.67,100.0,15000000,0,0,2001,4.6
Cotton Comes to Harlem,Ossie Davis,97,Redd Foxx,Cleavon Little,Calvin Lockhart,Action,1200000,5100000,100.0,100.0,3900000,0,0,1970,6.6
Country Strong,Shana Feste,117,Leighton Meester,Cinda McCain,Tim McGraw,Drama,15000000,20000000,0.0,0.0,5000000,1,0,2010,6.3
Crank,Mark Neveldine,93,Jason Statham,Edi Gathegi,Jose Pablo Cantillo,Action,12000000,42000000,56.94,40.0,30000000,0,0,2006,7.0
Crank: High Voltage,Mark Neveldine,96,Jason Statham,Clifton Collins Jr.,David Carradine,Action,20000000,15000000,29.16,40.0,-5000000,0,0,2009,6.2
Crash,Paul Haggis,115,Don Cheadle,Loretta Devine,Jennifer Esposito,Crime,6500000,98000000,88.89,66.67,91500000,9,3,2004,7.9
Crazy Heart,Scott Cooper,112,Jeff Bridges,Beth Grant,Debrianna Mansini,Drama,7000000,47000000,80.55,33.33,40000000,3,2,2009,7.3
Crazy Stone,Hao Ning,98,Bo Huang,Zheng Xu,Zhonghua Chen,Comedy,3000000,750000,0.0,0.0,-2250000,0,0,2006,7.7
Crazy/Beautiful,John Stockwell,135,Kirsten Dunst,Jay Hernandez,Rolando Molina,Drama,14000000,19000000,73.80,0.0,5000000,0,0,2001,6.5
Creepshow 2,Michael Gornick,85,George Kennedy,Holt McCallany,Dorothy Lamour,Comedy,3500000,14000000,83.33,100.0,10500000,0,0,1987,6.0
Creepshow,George A. Romero,130,Ted Danson,Hal Holbrook,Adrienne Barbeau,Comedy,8000000,22000000,88.89,100.0,14000000,0,0,1982,6.9
Cries & Whispers,Ingmar Bergman,91,Liv Ullmann,Ingrid Thulin,Erland Josephson,Drama,400000,3000000,100.0,100.0,2600000,5,1,1972,8.2
Crocodile Dundee II,John Cornell,108,Paul Hogan,Linda Kozlowski,John Meillon,Action,15800000,240000000,33.33,100.0,224200000,0,0,1988,5.5
Crocodile Dundee in Los Angeles,Simon Wincer,92,Jere Burns,Paul Hogan,Linda Kozlowski,Adventure,21150000,39000000,0.0,0.0,17850000,0,0,2001,4.8
Crocodile Dundee,Peter Faiman,93,Paul Hogan,Linda Kozlowski,David Gulpilil,Adventure,8800000,328000000,33.33,100.0,319200000,0,0,1986,6.5
Crooklyn,Spike Lee,115,Alfre Woodard,Delroy Lindo,Isaiah Washington,Comedy,14000000,13000000,0.0,50.0,-1000000,0,0,1994,6.9
Crossover,Preston A. Whitmore II,95,Wesley Jonathan,Wayne Brady,Eva Marcille,Action,5600000,7000000,0.0,50.0,1400000,0,0,2006,2.1
Crossroads,Tamra Davis,93,Britney Spears,Katherine Boecher,Dave Allen,Comedy,12000000,61000000,100.0,100.0,49000000,0,0,2002,3.3
Crossroads,Tamra Davis,93,Britney Spears,Katherine Boecher,Dave Allen,Comedy,12000000,61000000,100.0,100.0,49000000,0,0,2002,3.3
Crowsnest,Brenton Spencer,84,Christie Burke,Victor Zinck Jr.,Chelsey Reist,Action,1200000,1200000,0.0,0.0,0,0,0,2012,3.8
Cruel Intentions,Roger Kumble,97,Sarah Michelle Gellar,Sean Patrick Thomas,Eric Mabius,Drama,10500000,76000000,100.0,33.33,65500000,0,0,1999,6.9
Cry Freedom,Richard Attenborough,147,Denzel Washington,Kevin McNally,Penelope Wilton,Biography,29000000,43000000,50.0,25.0,14000000,8,0,1987,7.5
Cry_Wolf,Jeff Wadlow,90,Julian Morris,Gary Cole,Lindy Booth,Thriller,1000000,10000000,77.00,66.67,9000000,0,0,2005,5.9
Cyrus,Jay Duplass,91,Matt Walsh,Tim Guinee,Katie Aselton,Comedy,7000000,10200000,11.11,0.0,3200000,0,0,2010,6.3
Da Sweet Blood of Jesus,Spike Lee,123,Rami Malek,Elvis Nolasco,Felicia Pearson,Comedy,1420000,5000000,100.0,50.0,3580000,0,0,2014,4.1
Daddy Day Camp,Fred Savage,89,Lochlyn Munro,Brian Doyle-Murray,Tamala Jones,Comedy,6000000,18000000,38.88,100.0,12000000,0,0,2007,2.9
Dallas Buyers Club,Jean-Marc Vallée,117,Matthew McConaughey,Jennifer Garner,Denis O'Hare,Biography,5000000,55100000,61.0,66.67,50100000,11,6,2013,8.0
Damnation Alley,Jack Smight,91,George Peppard,Jan-Michael Vincent,Paul Winfield,Sci-Fi,17000000,8000000,50.0,50.0,-9000000,0,0,1977,5.2
Dance Flick,Damien Dante Wayans,88,Damon Wayans Jr.,Essence Atkins,Chris Elliott,Action,25000000,28000000,66.67,0.0,3000000,0,0,2009,3.5
Dances with Wolves,Kevin Costner,236,Mary McDonnell,Michael Spears,Maury Chaykin,Adventure,22000000,413000000,61.0,66.67,391000000,14,7,1990,8.0
Dangerous Liaisons,Stephen Frears,119,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,Drama,14000000,34000000,44.0,54.54,20000000,11,3,1988,7.7
Danny Collins,Dan Fogelman,106,Al Pacino,Jennifer Garner,Melissa Benoist,Comedy,10000000,6000000,55.55,0.0,-4000000,0,0,2015,7.1
Dark Blue,Ron Shelton,118,Khandi Alexander,Dash Mihok,Michael Michele,Crime,15000000,16900000,0.0,0.0,1900000,0,0,2002,6.6
Darkness Falls,Jonathan Liebesman,96,Sullivan Stapleton,Emma Caulfield,Angus Sampson,Horror,11000000,32000000,100.0,83.33,21000000,0,0,2003,4.9
Darkness,Jaume Balagueró,103,Lena Olin,Giancarlo Giannini,Anna Paquin,Horror,10600000,22400000,33.33,100.0,11800000,0,0,2002,5.4
Dave Chappelle's Block Party,Michel Gondry,100,Common,Dave Chappelle,Lauryn Hill,Comedy,3000000,12000000,83.33,50.0,9000000,1,0,2005,7.2
Day of the Dead,George A. Romero,87,Greg Nicotero,John Amplas,Joseph Pilato,Horror,3500000,34000000,100.0,100.0,30500000,0,0,1985,7.2
Daybreakers,Michael Spierig,98,Jay Laga'aia,Damien Garvey,Tiffany Lamb,Action,20000000,50000000,83.33,100.0,30000000,0,0,2009,6.5
Days of Heaven,Terrence Malick,94,Sam Shepard,Stuart Margolin,Richard Libertini,Drama,3000000,3950000,11.11,0.0,950000,6,1,1978,8.0
Dazed and Confused,Richard Linklater,102,Milla Jovovich,Adam Goldberg,Cole Hauser,Comedy,6900000,8270000,21.66,50.0,1370000,0,0,1993,7.7
Dead Man Down,Niels Arden Oplev,118,Dominic Cooper,Isabelle Huppert,James Biberi,Action,30000000,18000000,16.67,0.0,-12000000,0,0,2013,6.5
Dead Man Walking,Tim Robbins,122,Lois Smith,Celia Weston,Robert Prosky,Crime,11000000,83000000,66.67,50.0,72000000,5,4,1995,7.6
Dead Man's Shoes,Shane Meadows,90,Paddy Considine,Gary Stretch,George Newton,Crime,695393,6000000,55.55,100.0,5304607,0,0,2004,7.7
Dead Poets Society,Peter Weir,128,Robin Williams,Josh Charles,Kurtwood Smith,Comedy,16400000,236000000,78.22,75.0,219600000,5,1,1989,8.0
Deadfall,Stefan Ruzowitzky,95,Charlie Hunnam,Olivia Wilde,Sissy Spacek,Crime,12000000,5720000,66.67,0.0,-6280000,0,0,2012,6.3
Dear John,Lasse Hallström,108,Channing Tatum,Henry Thomas,Scott Porter,Drama,25000000,114000000,72.22,55.55,89000000,1,0,2010,6.3
Death at a Funeral,Frank Oz,87,Peter Dinklage,Ewen Bremner,Kris Marshall,Comedy,9000000,50000000,68.33,25.0,41000000,0,0,2007,7.4
Death Race 2000,Paul Bartel,80,Sylvester Stallone,David Carradine,Martin Kove,Action,300000,5000000,50.0,100.0,4700000,0,0,1975,6.2
Death Sentence,James Wan,111,Aisha Tyler,Kelly Preston,Edi Gathegi,Action,20000000,16900000,83.33,85.71,-3100000,0,0,2007,6.8
Decoys,Matthew Hastings,95,Meghan Ory,Marc Trottier,Corey Sevier,Comedy,5000000,3500000,0.0,0.0,-1500000,0,0,2004,4.6
Def-Con 4,Paul Donovan,88,Maury Chaykin,Lenore Zann,Tim Choate,Sci-Fi,1750000,1150000,11.11,0.0,-600000,0,0,1985,4.3
Defendor,Peter Stebbings,95,Michael Kelly,Tony Nappo,Charlotte Sullivan,Comedy,3500000,45000000,88.89,100.0,41500000,0,0,2009,6.8
Delivery Man,Ken Scott,105,Jack Reynor,Bobby Moynihan,Matthew Daddario,Comedy,26000000,53000000,100.0,50.0,27000000,0,0,2013,6.4
De-Lovely,Irwin Winkler,125,Kevin McNally,Keith Allen,Sandra Nelson,Biography,20000000,18000000,0.0,25.0,-2000000,0,0,2004,6.6
Derailed,Mikael Håfström,112,Denis O'Hare,RZA,Xzibit,Thriller,22000000,57000000,66.67,100.0,35000000,0,0,2005,6.6
