Name,Price,Producer,MPN,EAN,UPC,Supported Sockets,Height,TDP,80mm Fans,92mm Fans,120mm Fans,140mm Fans,200mm Fans,Additional Fan Support,Product Page
be quiet! Dark Rock Advanced,,be quiet!,BK014,4260052182147,,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",166 mm,,0,0,0,0,0,True,
be quiet! Dark Rock Pro 3,$90.14 USD,be quiet!,BK019,4260052183625,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",163 mm,,0,0,0,0,0,False,https://www.amazon.ca/quiet-BK019-Dark-Rock-Pro/dp/B00HPX7J4K?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00HPX7J4K
be quiet! Dark Rock Pro TR4 - black,$87.76 USD,be quiet!,BK023,4260052186985,4260052186985,"TR4, sTRX4",163 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B07J589GHF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Dark Rock Slim - 120mm,$68.17 USD,be quiet!,BK024,4260052187319,4260052187319,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700","159,4 mm",,0,0,0,0,0,True,https://www.amazon.ca/dp/B07R5TQQMR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Dark Rock TF - 135/135mm,$88.44 USD,be quiet!,BK020,4260052184233,4260052184233,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+","130,8 mm",,0,0,0,0,0,True,https://www.amazon.ca/dp/B00XJMQDUM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Dark Rock TF 2 - 135/135mm,$111.15 USD,be quiet!,BK031,4260052188705,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2066, AM4, AM3+, AM5, 1700",134 mm,230 W,0,0,0,0,0,False,https://www.amazon.ca/dp/B09BCWPG1S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Pure Loop 2 FX,$137.08 USD,be quiet!,BW014,4260052189030,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B0B7NYH5RD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Pure Loop 2 FX,$156.38 USD,be quiet!,BW013,4260052189023,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B0B7NSKYTZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Pure Loop 2 FX,$173.71 USD,be quiet!,BW015,4260052189047,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B0B7NTFMFD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Pure Rock 2 - 120mm,$42.78 USD,be quiet!,BK006,4260052187920,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",155 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B087VM7HT2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Pure Rock 2 Black - 120mm,$51.69 USD,be quiet!,BK007,4260052187968,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",155 mm,150 W,0,0,0,0,0,True,https://www.amazon.ca/dp/B087VL2Z21?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Pure Rock 2 FX - 120mm,,be quiet!,BK033,4260052189016,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, ILM, AM5, AM4",155 mm,150 W,0,0,0,0,0,False,
be quiet! Pure Rock LP Processor Kühler - 92mm,,be quiet!,BK034,4260052189757,,"1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",45 mm,100 W,0,0,0,0,0,False,
be quiet! Pure Rock Slim - 92mm,$35.53 USD,be quiet!,BK008,4260052185254,4260052185254,"1150, 1151, 1155, 1156, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",125 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B01KVNCEIG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Pure Rock Slim 2 - 92mm,$31.9 USD,be quiet!,BK030,4260052188453,,"1200, 1150, 1151, 1155, AM4, AM3+, AM5, 1700",135 mm,130 W,0,0,0,0,0,True,https://www.amazon.ca/dp/B08YRN1621?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Shadow Rock 2 - 120mm,,be quiet!,BK013,4260052183311,4260052182864,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",160 mm,,0,0,0,0,0,False,
be quiet! Shadow Rock 3 - 120mm,$57.29 USD,be quiet!,BK004,4260052187852,,"1150, 1151, 1155, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",163 mm,190 W,0,0,0,0,0,True,https://www.amazon.ca/dp/B084XYKDF4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Shadow Rock 3 White - 120mm,$60.92 USD,be quiet!,BK005,4260052188309,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",163 mm,190 W,0,0,0,0,0,True,https://www.amazon.ca/dp/B08L9QZXSY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Shadow Rock LP Low Profile - 120mm,$39.16 USD,be quiet!,BK002,4260052184226,4260052184226,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700","75,4 mm",,0,0,0,0,0,False,https://www.amazon.ca/dp/B00VGDN6F6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Shadow Rock Slim,$61.31 USD,be quiet!,BK010,4260052183632,4260052183632,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",161 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B00HPXZF2I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Shadow Rock Slim 2 - 135 cm,,be quiet!,BK032,4260052188712,,"1200, 1150, 1151, 1155, 2011-V3, 2066, AM4, AM3+, AM3, AM5, 1700",161 mm,160 W,0,0,0,0,0,True,
be quiet! Shadow Rock TF2 - 135mm,$77.01 USD,be quiet!,BK003,4260052185391,4260052185391,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",137 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B0723BLJBZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Silent Loop,,be quiet!,BW004,4260052185476,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",0 mm,,0,0,3,0,0,False,
be quiet! Silent Loop,,be quiet!,BW002,4260052185278,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,
be quiet! Silent Loop,,be quiet!,BW003,4260052185285,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4",0 mm,,0,0,0,2,0,False,
be quiet! Silent Loop,,be quiet!,BW001,4260052185261,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,
"be quiet! Silent Loop 2 , ARGB , black",,be quiet!,BW009,4260052188316,,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, sTRX4, TR4, AM5, 1700",0 mm,,0,0,2,0,0,False,
"be quiet! Silent Loop 2 , ARGB , black",,be quiet!,BW012,4260052188347,,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, sTRX4, TR4, AM5, 1700",0 mm,,0,0,3,0,0,False,
"be quiet! Silent Loop 2 , ARGB , black",,be quiet!,BW010,4260052188323,,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, sTRX4, TR4, AM5, 1700",0 mm,,0,0,2,0,0,False,
Bitspower Phantom,,BitsPower,BPA-PHSL-4H1T-DRGB,4712914788634,,"1700, 1366, 1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM1",51 mm,200 W,0,0,0,0,0,False,
Bitspower Summit LGA 3647 - Acetal,,BitsPower,BP-CPUNLGA3647-POM,4712914785176,,3647,"19,5 mm",,0,0,0,0,0,False,
Cooler Master Hyper 103 - 92mm,,Cooler Master,RR-H103-22PB-R1,4719512044193,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",138.5 mm,,0,0,0,0,0,False,
Cooler Master Hyper 212 Black Edition mit socket LGA 1700 - 120mm,,Cooler Master,RR-212S-20PK-R2,4719512123454,,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1","158,8 mm",,0,0,0,0,0,False,
Cooler Master Hyper 212 Evo - 120mm,,Cooler Master,RR-212E-16PK-R1,4719512033494,884102013669,"1150, 1151, 1155, 1156, 1366, AM2, AM3, AM3+, FM1, FM2, FM2+","158,5 mm",,0,0,0,0,0,True,
Cooler Master Hyper 212 EVO V2 - 120mm,$47.2 USD,Cooler Master,RR-2V2E-18PK-R1,4719512101476,,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM2+, FM2+, FM1",155 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B08KXXHJZN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master Hyper 212X - 120mm PWM,,Cooler Master,RR-212X-17PK-R1,4719512050125,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",158 mm,,0,0,0,0,0,False,
Cooler Master Hyper 212X - with Dual 120mm PWM Fan,,Cooler Master,RR-212X-20PM-A1,884102024382,,"2011-V3 , 2011 , 1366 , 1156 , 1155 , 1151 , 1150 , 775, FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+ , AM2",158 mm,,0,0,0,0,0,False,
"Cooler Master Hyper H411R , weiße LED - 92mm",,Cooler Master,RR-H411-20PW-R1,4719512064375,884102037047,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",136 mm,,0,0,0,0,0,False,
Cooler Master Hyper H412R - 92mm,$21.02 USD,Cooler Master,RR-H412-20PK-R2,4719512064368,884102037030,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775",136 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B076MQBZ2L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master Hyper T2 - Compact with Dual Looped Direct Contact Heatpipes,$14.5 USD,Cooler Master,RR-HT2-28PK-R1,884102026317,884102026317,"1150 , 1156 , 1155 , 775, FM2+ , FM2 , FM1 , AM4 , AM3+ , AM3 , AM2",140 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00K7809O2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master Hyper TX3 Evo - 92mm,,Cooler Master,RR-TX3E-22PK-R1,4719512033487,884102013652,"1150, 1151, 1155, 1156, 1366, 754, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",136 mm,,0,0,0,0,0,True,
Cooler Master Hyper TX3i - 92mm PWM,,Cooler Master,RR-TX3E-22PK-B1,4719512049587,,"1150, 1151, 1155, 1156, 775",136 mm,,0,0,0,0,0,False,
"Cooler Master MasterAir G100M, RGB - 100mm",$30.46 USD,Cooler Master,MAM-G1CN-924PC-R1,4719512065341,884102037863,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","74,5 mm",,0,0,0,0,0,False,https://www.amazon.ca/dp/B079K11GNB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master MasterAir MA410M RGB - 2x120mm PWM,$57.06 USD,Cooler Master,MAM-T4PN-218PC-R1,4719512067239,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","165,1 mm",,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-Addressable-Lighting-MAM-T4PN-218PC-R1/dp/B07CPYM6NR?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07CPYM6NR
"Cooler Master MasterAir MA410P , RGB - 120mm",$46.42 USD,Cooler Master,MAP-T4PN-220PC-R1,4719512064009,884102036675,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","158,5 mm",,0,0,0,0,0,True,https://www.amazon.ca/dp/B076KKWS6J?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Cooler Master MasterAir MA610P , RGB - 120mm",$56.77 USD,Cooler Master,MAP-T6PN-218PC-R1,4719512063408,884102036088,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",166.5 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B076KNKR73?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master Masterliquid 240 - 240 mm,,Cooler Master,MLX-D24M-A20PW-R1,4719512054123,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,
Cooler Master MasterLiquid ML240 ILLUSION White Edition - white,$103.69 USD,Cooler Master,MLX-D24M-A18PW-R1,4719512117415,884102089725,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09464Z8G9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master MasterLiquid ML360 ILLUSION - black,,Cooler Master,MLX-D36M-A18P2-R1,4719512110355,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",0 mm,,0,0,2,0,0,False,
COOLER MASTER MAZ-T8PN-418PR-R1 140mm DynaLoop,$124.04 USD,Cooler Master,MAZ-T8PN-418PR-R1,884102027413,,"2011-V3 , 2011 , 1366 , 1151 , 1150 , 1156 , 1155 , 775, FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+",172 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-MasterAir-Cooling-MAZ-T8PN-418PR-R1/dp/B01B12DQ38?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01B12DQ38
Cooler Master ML240R RGB,$125.24 USD,Cooler Master,MLX-D24M-A20PC-R1,4719512064825,884102037498,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B079K244KZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master PL240 Flux - black,,Cooler Master,MLY-D24M-A23PZ-R1,4719512123652,,"1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, TR4",0 mm,,0,0,2,0,0,False,
Cooler Master PL360 Flux - black,,Cooler Master,MLY-D36M-A23PZ-R1,4719512123645,,"1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, TR4",0 mm,,0,0,3,0,0,False,
COOLER MASTER RR-212E-20PK-R2 120mm Long Life Sleeve Bearing,$41.62 USD,Cooler Master,RR-212E-20PK-R2,884102012921,884102012921,"2011 , 1366 , 1151 , 1150 , 1155 , 1156 , 775, FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+ , AM2 , AM1",159 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B005O65JXI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
COOLER MASTER RR-212X-20PM-R1 120mm 4th Generation Bearing,,Cooler Master,RR-212X-20PM-R1,884102018862,,"2011-V3 , 2011 , 1366 , 1156 , 1155 , 1151 , 1150 , 775, FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+ , AM2",158 mm,,0,0,0,0,0,False,
COOLER MASTER RR-910-HTX3-G1 92mm Long life sleeve bearing,,Cooler Master,RR-910-HTX3-G1,884102005053,,"775 , 1156 , 1155 , 1150, 754 , 939 , 940 , AM2 , AM3",136 mm,,0,0,0,0,0,False,
COOLER MASTER RR-B10-212P-G1 120mm Sleeve,,Cooler Master,RR-B10-212P-G1,884102005077,,"1366 , 1155 , 1156 , 1150 , 775, FM1 , FM2 , AM2 , AM2+ , AM3 , AM3+",159 mm,,0,0,0,0,0,False,
COOLER MASTER RR-G5V2-20PK-R1 120mm Loop Dynamic Bearing (LDB),$40.8 USD,Cooler Master,RR-G5V2-20PK-R1,884102026942,,"775 , 1155 , 1156 , 1366 , 2011",106 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-GeminII-Silencio-RR-G5V2-20PK-R1/dp/B00UOIK3FU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UOIK3FU
COOLER MASTER RR-H6V2-13PK-R1 120mm Rifle,$47.15 USD,Cooler Master,RR-H6V2-13PK-R1,884102026799,,"2011,1366,1156,1155,1150,775, FM2+,FM2,FM1,AM3+,AM3,AM2+,AM2",161 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-Hyper-Ver-2-RR-H6V2-13PK-R1/dp/B00PJSFR7Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00PJSFR7Y
COOLER MASTER RR-HD92-28PK-R1 92mm Rifle,$42.8 USD,Cooler Master,RR-HD92-28PK-R1,884102026508,,"1156 , 1366 , 775",147 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-Hyper-D92-Accelerated/dp/B00NXLYE4G?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00NXLYE4G
COOLER MASTER RR-T4-18PK-R1 120mm Rifle,$27.14 USD,Cooler Master,RR-T4-18PK-R1,884102018206,,"2011 , 1366 , 1156 , 1155 , 1151 , 1150 , 775, FM2+ , FM2 , FM1 , AM4 , AM3+ , AM3 , AM2",153 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-Contact-Heatpipes-RR-T4-18PK-R1/dp/B00BSKY1M4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00BSKY1M4
COOLER MASTER RR-VTPS-28PK-R1 92mm Long life sleeve,$29.93 USD,Cooler Master,RR-VTPS-28PK-R1,884102008511,,"754, 939, 940, AM2, 775, 1366",59 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-Vortex-Plus-RR-VTPS-28PK-R1/dp/B003INFE16?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B003INFE16
Cooler Master V8 - Vapor Chamber,,Cooler Master,RR-V8VC-16PR-R2,4719512048368,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",166.5 mm,,0,0,0,0,0,False,
Cooler Master V8 - Vapor Chamber,$107.67 USD,Cooler Master,RR-V8VC-16PR-R1,4719512041864,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",166.5 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-RR-V8VC-16PR-R1-GTS-Performance/dp/B00E0EXYDC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00E0EXYDC
Cooler Master Wraith Ripper - 120 mm,$95.74 USD,Cooler Master,MAM-D7PN-DWRPS-T1,4719512075074,884102047565,TR4,160 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07H25DZ3M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Air A500 - 120mm,$78.85 USD,Corsair,CT-9010003-WW,0840006617600,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4",169 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B0829SLJSF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Cooling Hydro Series H100i Platinum,$162.47 USD,Corsair,CW-9060039-WW,0843591035460,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B07JWB5BSN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Cooling Hydro Series H100i Platinum SE,$145.07 USD,Corsair,CW-9060042-WW,0840006612711,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, TR4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B07R6YLDDS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Cooling Hydro Series H115i Platinum,$123.31 USD,Corsair,CW-9060038-WW,0843591035453,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B07JWB5BSP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Cooling Hydro Series H45,,Corsair,CW-9060028-WW,0843591072533,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, AM2, AM3, AM3+, FM1, FM2, FM2+",0 mm,,0,0,1,0,0,False,
Corsair Cooling Hydro Series H55,,Corsair,CW-9060010-WW,0843591034470,,"1150, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1",0 mm,,0,0,1,0,0,False,
Corsair Cooling Hydro Series H60 High Performance,$76.15 USD,Corsair,CW-9060036-WW,0843591026543,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,1,0,0,False,https://www.amazon.ca/dp/B0B3F413PK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Cooling Hydro Series H60i RGB PRO XT,$87.04 USD,Corsair,CW-9060049-WW,0840006624868,,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, AM4, AM3, FM2, FM1",0 mm,,0,0,1,0,0,False,https://www.amazon.ca/dp/B08PHVQBM6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Cooling Hydro Series H75 Performance,$68.9 USD,Corsair,CW-9060035-WW,0843591026536,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/Corsair-Hydro-Liquid-Cooler-Radiator/dp/B07DGDXW6Z?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07DGDXW6Z
Corsair Cooling Hydro Series H80i V2,$68.9 USD,Corsair,CW-9060024-WW,0843591071529,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, AM2, AM3, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B019954Y2Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
CORSAIR iCUE H100i ELITE - black,$224.86 USD,Corsair,CW-9060061-WW,0840006648130,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, sTR4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09HDJ3Z47?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Corsair iCUE H100i ELITE CAPELLIX , black",$148.69 USD,Corsair,CW-9060046-WW,0840006618751,,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, TR4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B08G1NSG7F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Corsair iCUE H100i ELITE CAPELLIX White , white",$162.47 USD,Corsair,CW-9060050-WW,0840006630609,,"1200, sTR4, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B08Q7L3N4W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Corsair iCUE H100i ELITE CAPELLIX XT , black",$159.58 USD,Corsair,CW-9060068-WW,0840006683476,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B0BQJ54XW5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Corsair iCUE H100i ELITE CAPELLIX XT , white",$177.71 USD,Corsair,CW-9060072-WW,0840006683513,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B0BQJ4VNT1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Corsair iCUE H100i ELITE LCD XT , black",$251.06 USD,Corsair,CW-9060074-WW,0840006694199,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B0BQWVNZDC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
