Name,Price,Producer,MPN,EAN,UPC,Width,Depth,Height,Motherboard,Power Supply,Supported GPU Length,Supported CPU Cooler Height,80mm Fans,120mm Fans,140mm Fans,200mm Fans,120mm Radiator Support,140mm Radiator Support,240mm Radiator Support,280mm Radiator Support,360mm Radiator Support,"Disk 2.5""","Disk 3.5""","Disk 2.5""/3.5""","Disk 5.25""",Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation,Product Page
"Fractal Design Define S2 Midi-Tower, Tempered Glass - white",$159.58 USD,Fractal Design,FD-CA-DEF-S2-WT-TGC,7340172701057,843276101053,233 mm,543 mm,465 mm,E-ATX,ATX,440 mm,185 mm,0/0,0/9,3/9,0/0,1,0,0,1,1,2,0,0,,white,True,True,True,True,https://www.amazon.ca/dp/B07JDYV48T?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Fractal Design Define S2 Midi-Tower, Tempered Glass, isolated - grey",$134.19 USD,Fractal Design,FD-CA-DEF-S2-GY-TGL,7340172701064,843276101060,233 mm,543 mm,465 mm,E-ATX,ATX,440 mm,185 mm,0/0,0/9,3/9,0/0,1,0,0,1,2,2,0,0,,"gunmetal, black",True,True,True,True,https://www.amazon.ca/dp/B07JG5DHMX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Fractal Design Define S2 Midi-Tower, Tempered Glass, isolated - black/white",$159.58 USD,Fractal Design,FD-CA-DEF-S2-BK-TGL,7340172701040,843276101046,233 mm,543 mm,465 mm,E-ATX,ATX,440 mm,185 mm,0/0,0/9,3/9,0/0,1,0,0,2,2,2,0,0,,black,True,True,True,True,https://www.amazon.ca/dp/B07JFVLT7G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Fractal Design Define S2 Vision Blackout Midi-Tower, Tempered Glass - black",$202.37 USD,Fractal Design,FD-CA-DEF-S2V-BKO-TGD,7340172701767,843276101763,233 mm,543 mm,465 mm,E-ATX,ATX,440 mm,185 mm,0/0,0/9,4/9,0/0,0,0,1,0,2,2,0,0,,"black, transparent",True,True,True,False,https://www.amazon.ca/Fractal-Design-Blackout-Tempered-Computer/dp/B07R5TM38P?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07R5TM38P
"Fractal Design Define S2 Vision RGB Midi-Tower, Tempered Glass - black",$217.61 USD,Fractal Design,FD-CA-DEF-S2V-RGB-BKO-TGD,7340172701750,843276101756,233 mm,543 mm,465 mm,E-ATX,ATX,440 mm,185 mm,0/0,0/9,4/9,0/0,0,0,1,0,2,2,0,0,,"black, transparent",True,True,True,False,https://www.amazon.ca/dp/B07RBTY768?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Fractal Design Define XL R2 Big-Tower - black,,Fractal Design,FD-CA-DEF-XL-R2-BL,7350041081005,817301011006,232 mm,560 mm,559 mm,E-ATX,ATX,480 mm,170 mm,0/0,0/6,3/7,0/0,2,1,2,1,0,0,0,0,,black,False,True,True,True,
Fractal Design Era Mini-ITX - carbon,,Fractal Design,FD-CA-ERA-ITX-BK,7340172701781,,166 mm,325 mm,310 mm,Mini-ITX,"ATX, SFX, SFX-L",295 mm,1209170 mm,0/1,0/4,0/2,0/0,0,0,1,0,0,4,2,0,,gray,False,True,True,False,
Fractal Design Era Mini-ITX - cobalt,,Fractal Design,FD-CA-ERA-ITX-BU,7340172701811,,166 mm,325 mm,310 mm,Mini-ITX,"ATX, SFX, SFX-L",295 mm,1209170 mm,1/1,0/4,0/2,0/0,0,0,1,0,0,4,2,0,,blue,False,True,True,False,
Fractal Design Era Mini-ITX - gold,,Fractal Design,FD-CA-ERA-ITX-CHP,7340172701828,,166 mm,325 mm,310 mm,Mini-ITX,"ATX, SFX, SFX-L",295 mm,1209170 mm,1/0,0/4,0/2,0/0,0,0,0,0,0,4,2,0,,gold,False,False,True,False,
Fractal Design Era Mini-ITX - grey,,Fractal Design,FD-CA-ERA-ITX-GY,7340172701798,,166 mm,325 mm,310 mm,Mini-ITX,"ATX, SFX, SFX-L",295 mm,1209170 mm,1/1,0/4,0/2,0/0,0,0,1,0,0,4,2,0,,gray,False,True,True,False,
Fractal Design Era Mini-ITX - silver,,Fractal Design,FD-CA-ERA-ITX-SI,7340172701804,,166 mm,325 mm,310 mm,Mini-ITX,"ATX, SFX, SFX-L",295 mm,1209170 mm,0/1,0/4,0/2,0/0,0,0,1,0,0,4,2,0,,silver,False,True,True,False,
Fractal Design Focus G Midi-Tower - blue Window,$47.87 USD,Fractal Design,FD-CA-FOCUS-BU-W,7350041085164,817301015165,205 mm,464 mm,444 mm,ATX,ATX,380 mm,165 mm,0/0,2/6,0/4,0/0,1,0,2,1,0,1,2,0,,blue,True,True,True,False,https://www.amazon.ca/Fractal-Design-FD-CA-Focus-BU-W-Computer-Petrol/dp/B074PTQHJH?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074PTQHJH
Fractal Design Focus G Midi-Tower - grey Window,$54.4 USD,Fractal Design,FD-CA-FOCUS-GY-W,7350041085140,817301015141,205 mm,464 mm,444 mm,ATX,ATX,380 mm,165 mm,0/0,2/6,0/4,0/0,1,0,2,1,0,1,2,0,,gray,True,True,True,False,https://www.amazon.ca/Fractal-Design-FD-CA-Focus-GY-W-Computer-Gunmetal/dp/B074PTNZ7F?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074PTNZ7F
Fractal Design Focus G Midi-Tower - red Window,$64.54 USD,Fractal Design,FD-CA-FOCUS-RD-W,7350041085188,817301015189,205 mm,464 mm,444 mm,ATX,ATX,380 mm,165 mm,0/0,2/6,0/4,0/0,1,0,2,1,0,3,2,0,,red,True,True,True,False,https://www.amazon.ca/dp/B074PTN1KR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Fractal Design Focus G Midi-Tower - white Window,$51.49 USD,Fractal Design,FD-CA-FOCUS-WT-W,7350041085126,817301015127,205 mm,464 mm,444 mm,ATX,ATX,380 mm,165 mm,0/0,2/6,0/4,0/0,1,0,2,1,0,3,2,0,,white,True,True,True,False,https://www.amazon.ca/Fractal-Design-FD-CA-Focus-WT-W-Tower-Computer/dp/B071G4KDKG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071G4KDKG
Fractal Design Focus G Mini Micro-ATX - black Window,$54.4 USD,Fractal Design,FD-CA-FOCUS-MINI-BK-W,7350041084914,817301014915,205 mm,464 mm,383 mm,Micro-ATX,ATX,380 mm,165 mm,0/0,2/6,0/3,0/0,1,0,2,0,0,3,2,0,,black,True,True,True,False,https://www.amazon.ca/Fractal-Design-MicroATX-Case-FD-CA-Focus-Mini-BK-W/dp/B072JC4SCN?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B072JC4SCN
Fractal Design Meshify S2 Midi-Tower - black,$170.59 USD,Fractal Design,FD-CA-MESH-S2-BKO,7340172701446,,233 mm,538 mm,465 mm,E-ATX,ATX,440 mm,185 mm,0/0,0/9,3/9,0/0,1,0,0,1,1,2,0,0,,black,False,True,True,False,https://www.amazon.ca/Fractal-Design-Meshify-Performance-Water-Cooling/dp/B07N48TS26?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07N48TS26
Fractal Design Meshify S2 TG Dark Tint Midi-Tower - black,,Fractal Design,FD-CA-MESH-S2-BKO-TGD,7340172701460,,233 mm,538 mm,465 mm,E-ATX,ATX,440 mm,185 mm,0/0,0/9,3/9,0/0,1,0,0,1,1,2,0,0,,black,True,True,True,False,
Fractal Design Meshify S2 TG Midi-Tower - black,,Fractal Design,FD-CA-MESH-S2-BKO-TGL,7340172701453,,233 mm,538 mm,465 mm,E-ATX,ATX,440 mm,185 mm,0/0,0/9,3/9,0/0,1,0,0,1,1,2,0,0,,black,True,True,True,False,
Fractal Design Meshify S2 TG Midi-Tower - white,$152.32 USD,Fractal Design,FD-CA-MESH-S2-WT-TGC,7340172701477,843276101473,233 mm,538 mm,465 mm,E-ATX,ATX,440 mm,185 mm,0/0,0/9,3/9,0/0,1,0,0,1,2,2,0,0,,white,True,True,True,False,https://www.amazon.ca/dp/B07N46G3VK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Fractal Design Node 304 Mini-ITX - black,$87.04 USD,Fractal Design,FD-CA-NODE-304-BL,7350041080978,817301010979,250 mm,374 mm,210 mm,Mini-ITX,ATX,310 mm,165 mm,0/0,0/0,1/1,0/0,0,0,0,0,0,6,6,0,,black,False,True,False,False,https://www.amazon.ca/dp/B009LHF4FO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Fractal Design Node 304 Mini-ITX - white,,Fractal Design,FD-CA-NODE-304-WH,7350041081111,817301011112,250 mm,374 mm,210 mm,Mini-ITX,ATX,310 mm,165 mm,0/0,0/0,1/1,0/0,0,0,0,0,0,6,3,0,,black-and-white,False,True,False,False,
Fractal Design Node 804 Micro-ATX - black Window,$125.91 USD,Fractal Design,FD-CA-NODE-804-BL-W,7350041082019,817301012010,344 mm,389 mm,307 mm,Micro-ATX,ATX,320 mm,160 mm,0/0,2/3,0/0,0/0,0,0,2,1,0,4,10,0,,black,True,True,True,False,https://www.amazon.ca/dp/B00K6OVG0I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Fractal Design Torrent Black TG Dark Tint, black",,Fractal Design,FD-C-TOR1A-06,7340172702672,,242 mm,544 mm,530 mm,E-ATX,ATX,461 mm,188 mm,3/0,0/7,3/7,0/0,1,1,0,0,2,4,2,0,,grey black,True,True,True,False,
"Fractal Design Torrent Black TG Light Tint Midi-Tower, Tempered Glass - black",,Fractal Design,FD-C-TOR1A-01,7340172702283,,242 mm,544 mm,530 mm,E-ATX,ATX,461 mm,188 mm,3/0,0/7,3/7,0/0,1,1,0,0,2,2,2,0,,black,True,True,True,False,
Fractal Design Torrent Black TG Light Tint RGB Midi-Tower - black,,Fractal Design,FD-C-TOR1A-04,7340172702313,,242 mm,544 mm,530 mm,E-ATX,ATX,461 mm,188 mm,3/0,0/7,3/7,0/0,1,1,0,0,2,4,2,0,,black,True,True,True,False,
Fractal Design Torrent Compact TG Light Tint RGB Midi Tower - black,,Fractal Design,FD-C-TOR1C-02,7340172702900,,222 mm,450 mm,467 mm,E-ATX,ATX,330 mm,174 mm,2/0,0/7,0/4,0/0,1,0,0,2,1,3,0,0,,black,True,True,True,False,
"Fractal Design Torrent Gray TG Light Tint, grey",,Fractal Design,FD-C-TOR1A-02,7340172702290,,242 mm,544 mm,530 mm,E-ATX,ATX,461 mm,188 mm,3/0,0/7,3/7,0/0,1,1,0,0,2,4,2,0,,grey black,True,True,True,False,
Fractal Design Torrent Nano TG Light Tint RGB Midi Tower - black,,Fractal Design,FD-C-TOR1N-02,7340172702948,,222 mm,417 mm,374 mm,Mini-ITX,ATX,335 mm,165 mm,1/0,0/5,0/4,0/0,1,1,1,1,0,2,0,0,,black silver,True,True,True,False,
"Fractal Design Torrent Solid Midi-Tower, black",,Fractal Design,FD-C-TOR1A-05,7340172702603,,242 mm,544 mm,530 mm,E-ATX,ATX,461 mm,188 mm,3/0,0/7,3/7,0/0,1,1,0,0,2,4,2,0,,black,True,True,True,False,
"Fractal Design Vector RS Dark Tempered Glass, Midi-Tower - black",,Fractal Design,FD-C-VER1A-02,7340172701972,843276101978,233 mm,552 mm,468 mm,E-ATX,ATX,465 mm,185 mm,0/0,0/9,3/9,0/0,1,0,0,1,1,4,0,0,,black,True,True,True,True,
"Fractal Design Vector RS, Midi-Tower, Tempered Glass - black",$212.27 USD,Fractal Design,FD-C-VER1A-01,7340172701965,843276101961,233 mm,552 mm,498 mm,E-ATX,ATX,465 mm,185 mm,0/0,0/9,3/9,0/0,1,0,0,2,1,4,0,0,,black,True,True,True,True,https://www.amazon.ca/dp/B07Y2RDWG3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Graphite Series 380T Yellow Portable Mini ITX,$56.48 USD,Corsair,CC-9011065-WW,5695696130350,809185807042,292 mm,356 mm,393 mm,Mini-ITX,ATX,290 mm,150 mm,0/0,1/5,1/0,0/0,,,,,,2,0,2,,yellow,False,False,False,False,https://www.amazon.ca/CORSAIR-Liquid-Cooler-Radiator-120mm-Fan/dp/B00A0HZMGA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00A0HZMGA
Graphite Series 780T White Full-Tower,$243.15 USD,Corsair,CC-9011059-WW,5052184597192,843591049849,288 mm,602 mm,637 mm,E-ATX,ATX,355 mm,200 mm,0/0,0/8,3/4,0/0,,,,,,3,0,6,,white,False,False,False,False,https://www.amazon.ca/dp/B00LA6ZLGQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HGC Osmi 3.1 Aluminium Mini-ITX - black,,HGC,OSMIblack,0705632752203,,180 mm,180 mm,265 mm,Mini-ITX,"SFX, SFX-L",170 mm,70 mm,0/0,0/0,0/1,0/0,0,0,0,0,0,2,0,0,,black,False,False,False,False,
HGC Osmi 3.1 Aluminium Mini-ITX - white,,HGC,OSMIwhite,0793591539041,,180 mm,180 mm,265 mm,Mini-ITX,"SFX, SFX-L",170 mm,70 mm,0/0,0/0,0/1,0/0,0,0,0,0,0,2,0,0,,white,False,False,False,False,
"Hyte Y60 Midi Tower, Tempered Glass - black",,Hyte,CS-HYTE-Y60-B,1220000350090,,285 mm,456 mm,462 mm,E-ATX,ATX,375 mm,160 mm,0/0,3/8,0/4,0/0,1,0,0,2,1,4,2,0,,black,True,True,False,False,
"Hyte Y60 Midi Tower, Tempered Glass - black/red",,Hyte,CS-HYTE-Y60-BR,1220000350106,,285 mm,456 mm,462 mm,E-ATX,ATX,375 mm,160 mm,0/0,3/8,0/4,0/0,1,0,0,2,1,4,2,0,,black red,True,True,False,False,
"Hyte Y60 Midi Tower, Tempered Glass - black/white",,Hyte,CS-HYTE-Y60-BW,1220000350113,,285 mm,456 mm,462 mm,E-ATX,ATX,375 mm,160 mm,0/0,3/8,0/4,0/0,1,0,0,2,1,4,2,0,,black-and-white,True,True,False,False,
"IN WIN 101 TUF Midi-Tower, Tempered Glass - black",,IN WIN,101 TUF,4710474946112,,220 mm,480 mm,445 mm,ATX,ATX,421 mm,160 mm,0/0,0/6,0/0,0/0,1,0,1,0,1,4,2,0,,black,True,True,True,False,
IN WIN 303 Aurora Edition Midi-Tower - black,,IN WIN,303 AURORA Black,4710474942589,,215 mm,480 mm,500 mm,E-ATX,ATX,350 mm,160 mm,0/0,4/7,0/0,0/0,1,0,0,0,1,3,2,0,,black,True,True,True,False,
IN WIN 303 Aurora Edition Midi-Tower - white,,IN WIN,303 AURORA White,4710474942572,,215 mm,480 mm,500 mm,E-ATX,ATX,350 mm,160 mm,0/0,4/7,0/0,0/0,1,0,0,0,1,3,2,0,,white,True,True,True,False,
IN WIN 305 Midi-Tower - white,$128.96 USD,IN WIN,305 WHITE,4710474944576,,248 mm,485 mm,500 mm,ATX,ATX,350 mm,160 mm,0/0,0/7,0/0,0/0,,,,,,2,2,0,,white,True,True,True,False,https://www.amazon.ca/Win-305-White-Computer-Tempered/dp/B07JY1LBKM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07JY1LBKM
IN WIN 509 Big-Tower - black/grey,,IN WIN,509 BLACK/GREY,4710474940288,,235 mm,578 mm,527 mm,E-ATX,ATX,370 mm,188 mm,0/0,0/8,0/6,0/0,,,,,,9,5,0,,black,True,True,True,False,
IN WIN 509 Big-Tower - black/red,,IN WIN,509 BLACK/RED,4710474940271,,235 mm,578 mm,527 mm,E-ATX,ATX,370 mm,188 mm,0/0,0/8,0/6,0/0,,,,,,9,5,0,,black,True,True,True,False,
IN WIN 8.O.S.S. Cube - black,,IN WIN,InWin 8.O.S.S,4710474937288,,358 mm,485 mm,385 mm,Micro-ATX,ATX,420 mm,220 mm,0/0,0/9,0/2,0/0,1,0,2,0,2,6,4,0,,black,True,False,True,False,
IN WIN 805 Design Midi-Tower - gold,,IN WIN,DC.805 GOLD,4710474938575,,205 mm,455 mm,476 mm,ATX,ATX,320 mm,156 mm,0/0,1/5,0/2,0/0,,,,,,6,2,0,,black,True,True,True,False,
IN WIN 901 Design Mini-ITX Tower - black,$197.59 USD,IN WIN,901 BLACK,4710474936175,827955016029,173 mm,400 mm,350 mm,Mini-ITX,ATX,300 mm,130 mm,0/0,0/2,0/0,0/0,1,0,0,0,0,2,2,0,,black,True,True,False,False,https://www.amazon.ca/dp/B01E6AP8MY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
IN WIN 901 Design Mini-ITX Tower - silver,,IN WIN,901 silver,4710474933648,,173 mm,400 mm,350 mm,Mini-ITX,ATX,300 mm,130 mm,0/0,0/1,0/0,0/0,,,,,,4,2,0,,black silver,True,True,True,False,
IN WIN 904 Plus Design Midi-Tower - silver,,IN WIN,904Plus silver,4710474936601,,192 mm,490 mm,490 mm,ATX,ATX,360 mm,137 mm,0/0,0/1,0/1,0/0,0,0,0,0,0,5,3,0,,silver,True,False,True,False,
IN WIN D-Frame 2.0 Design Big-Tower - black/gold,,IN WIN,D-Frame 2.0,4710474939879,,264 mm,726 mm,548 mm,E-ATX,ATX,415 mm,165 mm,0/0,0/5,0/0,0/0,2,0,0,0,1,4,4,0,,"gold, black",True,False,False,False,
"IN WIN D-Frame 2.0 Design Big-Tower, NVIDIA Edition - black/grün",,IN WIN,D-Frame 2.0 green/black,4710474940691,,264 mm,726 mm,548 mm,E-ATX,ATX,415 mm,165 mm,0/0,0/5,0/0,0/0,,,,,,4,4,0,,"green, black",True,False,False,False,
IN WIN D-Frame Mini Mini-ITX - red,,IN WIN,D-Frame Mini-RD,4710474935789,,230 mm,501 mm,405 mm,Mini-ITX,ATX,340 mm,165 mm,0/0,0/2,0/0,0/0,0,0,1,0,0,5,3,0,,red,True,False,False,False,
InWin 101 Midi-Tower - black,$57.29 USD,IN WIN,101 BLACK,4710474943678,827955023508,220 mm,480 mm,445 mm,Micro-ATX,ATX,421 mm,160 mm,0/0,0/6,0/0,0/0,1,0,1,0,1,2,2,0,,black,True,True,True,False,https://www.amazon.ca/dp/B0721TZGKC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
InWin 101 Midi-Tower - white,$57.29 USD,IN WIN,101 WHITE,4710474943661,827955023492,220 mm,480 mm,445 mm,Micro-ATX,ATX,421 mm,160 mm,0/0,0/6,0/0,0/0,1,0,1,0,1,2,2,0,,white,True,True,True,False,https://www.amazon.ca/dp/B0721TZFDR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
InWin 101C Midi-Tower - black,,IN WIN,101C Black,4710474944361,,220 mm,480 mm,445 mm,Micro-ATX,ATX,421 mm,160 mm,0/0,0/6,0/0,0/0,1,0,1,0,1,2,2,0,,black,True,True,True,False,
InWin 101C Midi-Tower - white,,IN WIN,101C White,4710474944354,,220 mm,480 mm,445 mm,Micro-ATX,ATX,421 mm,160 mm,0/0,0/6,0/0,0/0,1,0,1,0,1,2,2,0,,white,True,True,True,False,
InWin 103 Midi-Tower - black,,IN WIN,103 BLACK,4710474946990,,227 mm,480 mm,446 mm,ATX,ATX,421 mm,160 mm,0/0,0/6,0/0,0/0,1,0,1,0,1,2,2,0,,black,True,True,True,False,
InWin 103 Midi-Tower - white,,IN WIN,103 WHITE,4710474946983,,227 mm,480 mm,446 mm,ATX,ATX,421 mm,160 mm,0/0,0/6,0/0,0/0,1,0,1,0,1,2,2,0,,white,True,True,True,False,
InWin 301 Micro-ATX - black,$72.53 USD,IN WIN,301 BLACK,4710474943180,827955023010,208 mm,370 mm,365 mm,Micro-ATX,ATX,330 mm,158 mm,0/0,0/5,0/0,0/0,1,0,1,0,0,3,1,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07229QBYM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
InWin 301 Micro-ATX - white,$72.53 USD,IN WIN,301 WHITE,4710474943197,827955023027,208 mm,370 mm,365 mm,Micro-ATX,ATX,330 mm,158 mm,0/0,0/5,0/0,0/0,1,0,1,0,0,3,1,0,,white,True,True,True,False,https://www.amazon.ca/dp/B06XXSWWX6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"InWin 301 Micro-ATX, 450 Watt Netzteil - black",,IN WIN,301PSU BLACK,4710474943630,,208 mm,370 mm,365 mm,Micro-ATX,ATX,330 mm,158 mm,0/0,0/5,0/0,0/0,1,0,1,0,0,3,1,0,,black,True,True,True,False,
InWin 301C Micro-ATX - black,$100.11 USD,IN WIN,301C Black,4710474943838,,208 mm,370 mm,365 mm,Micro-ATX,ATX,330 mm,158 mm,0/0,0/5,0/0,0/0,1,0,1,0,0,2,1,0,,black,True,True,True,False,https://www.amazon.ca/Win-301C-Black-Sync-Ready-Micro-ATX/dp/B074WHG477?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074WHG477
InWin 301C Micro-ATX - white,$97.06 USD,IN WIN,301C White,4710474943845,,208 mm,370 mm,365 mm,Micro-ATX,ATX,330 mm,158 mm,0/0,0/5,0/0,0/0,1,0,1,0,0,2,1,0,,white,True,True,True,False,https://www.amazon.ca/Win-301C-White-Micro-ATX-Mini-ITX/dp/B077Y6T43Q?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B077Y6T43Q
InWin 303 Midi-Tower - black,,IN WIN,303 Black,4710474940127,827955019693,215 mm,480 mm,500 mm,E-ATX,ATX,350 mm,160 mm,0/0,0/7,0/0,0/0,1,0,0,0,1,3,2,0,,black,True,True,True,False,
InWin 303 Midi-Tower - white,$133.45 USD,IN WIN,303 White,4710474940110,827955019709,215 mm,480 mm,500 mm,E-ATX,ATX,350 mm,160 mm,0/0,0/7,0/0,0/0,1,0,0,0,1,3,2,0,,white,True,True,True,False,https://www.amazon.ca/dp/B01HHBY0JQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
InWin 303 Midi-Tower MSI Dragon Edition - white,,IN WIN,303 MSI DRAGON,4710474944255,,215 mm,480 mm,500 mm,E-ATX,ATX,350 mm,160 mm,0/0,0/7,0/0,0/0,1,0,0,0,1,2,2,0,,white,True,True,True,False,
InWin 303C Midi-Tower - black,,IN WIN,303C BLACK,4710474943821,,215 mm,480 mm,500 mm,E-ATX,ATX,350 mm,160 mm,0/0,0/7,0/0,0/0,1,0,0,0,1,2,2,0,,black,True,True,True,False,
InWin 303C Midi-Tower - white,,IN WIN,303C WHITE,4710474943814,,215 mm,480 mm,500 mm,E-ATX,ATX,350 mm,160 mm,0/0,0/7,0/0,0/0,1,0,0,0,1,2,2,0,,white,True,True,True,False,
InWin 303i Asus Edition Midi-Tower,,IN WIN,303i ASUS,4710474946518,,215 mm,480 mm,483 mm,ATX,ATX,350 mm,160 mm,0/0,0/7,0/0,0/0,1,0,0,0,2,2,2,0,,black,True,True,True,False,
InWin 305 Midi-Tower - black,,IN WIN,305 BLACK,4710474944286,,248 mm,485 mm,500 mm,ATX,ATX,350 mm,160 mm,0/0,0/7,0/0,0/0,1,0,0,0,1,2,2,0,,black,True,True,True,False,
"InWin 307 Midi-Tower, RGB, Tempered Glass - white",,IN WIN,307,4710474946877,,237 mm,501 mm,537 mm,ATX,ATX,350 mm,160 mm,0/0,0/7,0/0,0/0,1,0,0,0,1,2,2,0,,white,True,True,True,False,
"InWin 309 Midi-Tower, RGB, Tempered Glass - black",$217.61 USD,IN WIN,IW-309-Black,4710474947874,,238 mm,553 mm,500 mm,ATX,ATX,350 mm,160 mm,0/0,4/7,0/0,0/0,1,0,0,0,2,2,2,0,,black,True,True,True,False,https://www.amazon.ca/InWin-Addressable-Front-Panel-ARGB/dp/B07VH2GZFM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07VH2GZFM
InWin 503 Midi-Tower - black/red,,IN WIN,503 Black,4710474937080,,210 mm,472.5 mm,440 mm,ATX,ATX,408 mm,160 mm,0/0,1/4,0/0,0/0,0,0,0,0,0,2,4,0,,red black,True,True,True,False,
InWin 805 Design Midi-Tower - red,,IN WIN,DS.805C RED,4710474938568,,205 mm,455 mm,476 mm,ATX,ATX,320 mm,156 mm,0/0,1/1,0/0,0/0,2,0,1,0,0,4,2,0,,red black,True,True,True,False,
InWin 805i Design Midi-Tower - black,,IN WIN,805I,4710474940134,,205 mm,472.5 mm,476 mm,ATX,ATX,320 mm,156 mm,0/0,1/5,0/2,0/0,2,1,1,1,0,6,2,0,,black,True,True,True,False,
InWin 904 Plus Design Midi-Tower - black,,IN WIN,904Plus black,4710474936595,,192 mm,490 mm,490 mm,ATX,ATX,360 mm,137 mm,0/0,0/1,0/1,0/0,1,1,0,0,0,2,3,0,,black,True,True,False,False,
"InWin 905 Midi-Tower, OLED, Tempered Glass - silver",,InWin,905 OLED/ASL 120x3,4710474948253,,215 mm,508 mm,502 mm,E-ATX,ATX,330 mm,160 mm,0/0,3/6,0/0,0/0,1,0,1,0,1,"2, 4",1,0,,silver,True,True,True,False,
"InWin 905 Midi-Tower, RGB, Tempered Glass - silver",,IN WIN,IW-905-SILADD,4710474948024,,215 mm,508 mm,502 mm,E-ATX,ATX,330 mm,160 mm,0/0,3/6,0/0,0/0,1,0,1,0,1,2,1,0,,silver,True,True,True,False,
InWin 909 Design Big-Tower - black,,IN WIN,909 black,4710474938124,827955017972,231 mm,575 mm,540 mm,E-ATX,ATX,320 mm,175 mm,0/0,0/8,0/6,0/0,1,0,1,1,1,10,4,0,,black,True,True,True,False,
InWin 909 Design Big-Tower - silver,,IN WIN,909 silver,4710474938117,,231 mm,575 mm,540 mm,E-ATX,ATX,320 mm,175 mm,0/0,0/8,0/6,0/0,1,0,1,1,1,10,4,0,,black,True,True,True,False,
"InWin 915 Big Tower, Tempered Glass - black",,IN WIN,915 BLACK,4710474946532,,230 mm,645 mm,570 mm,E-ATX,ATX,410 mm,164 mm,0/0,0/9,0/8,0/0,1,0,0,0,3,9,0,0,,black,True,True,True,False,
"InWin 925 Big-Tower, RGB, Tempered Glass - black",,IN WIN,925 BLACK,4710474948680,,280 mm,508 mm,570 mm,E-ATX,ATX,420 mm,200 mm,0/0,0/9,0/2,0/0,0,0,0,1,1,4,3,0,,black,True,False,True,False,
"InWin 925 Big-Tower, RGB, Tempered Glass - black",,InWin,925 BLACK,4710474948604,,280 mm,508 mm,570 mm,E-ATX,ATX,420 mm,200 mm,0/0,0/9,0/2,0/0,0,0,0,1,1,4,3,0,,black,True,False,True,False,
"InWin A1 Mini-ITX, 600 Watt Netzteil - black",,IN WIN,A1 Black,4710474946235,,216 mm,355.5 mm,273 mm,Mini-ITX,ATX,300 mm,160 mm,0/0,0/4,0/0,0/0,1,0,0,0,0,2,0,0,,black,True,True,True,False,
"InWin A1 Mini-ITX, 600 Watt Netzteil - white",,IN WIN,A1 White,4710474946242,,216 mm,355.5 mm,273 mm,Mini-ITX,ATX,300 mm,160 mm,0/0,0/4,0/0,0/0,1,0,0,0,0,2,0,0,,white,True,True,True,False,
