country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ireland,2906599,2924705,2929379,2917037,2902780,2886368,2869649,2854323,2838758,2823465,2811067,2807005,2813067,2824089,2837436,2852401,2867003,2882745,2899643,2917184,2937637,2969397,3013998,3062023,3110099,3157919,3205753,3254662,3305571,3351898,3391387,3424827,3451212,3472903,3490931,3505769,3515669,3513700,3498030,3483314,3485374,3504805,3528367,3545700,3559398,3579482,3606728,3640150,3678667,3719912,3768950,3829018,3894258,3958705,4031954,4121216,4234806,4359834,4452392,4499792,4524585,4544501,4564550,4588832,4622167,4665760,4715788,4771854,4834507,4896019,4946119,4986526,5023109,5056935
Isle of Man,54813,54431,53938,53422,52877,52283,51645,50969,50271,49553,48793,48422,48669,49131,49597,50057,50718,51731,52910,54099,55298,56431,57419,58325,59179,59949,60701,61506,62333,63172,64022,64558,64654,64598,64500,64376,64663,65554,66636,67740,68865,69770,70307,70710,71094,71454,71981,72793,73727,74668,75562,76398,77183,77939,78677,79415,80228,81100,81997,82915,83828,84350,84338,84144,83896,83593,83450,83580,83775,83933,84046,84263,84519,84710
Israel,1284157,1337630,1393191,1450457,1507412,1564960,1625669,1688678,1754788,1825847,1902247,1983319,2069091,2160420,2257903,2361088,2467863,2575793,2684849,2795472,2907307,3018583,3120950,3214274,3303720,3388086,3468120,3541374,3608733,3675789,3744608,3816745,3892839,3979093,4077001,4182681,4295405,4412030,4535396,4666782,4803254,4942812,5079389,5212998,5346292,5478734,5612494,5743283,5869504,5994088,6116958,6237982,6356693,6475913,6595986,6714124,6832077,6952003,7074522,7199703,7328445,7459749,7592106,7726676,7863846,8007778,8159009,8309257,8456483,8607919,8757489,8900059,9038309,9174520
Italy,46391938,46750760,47016485,47412139,47833768,48130728,48403438,48660253,48930469,49224675,49517707,49812730,50162245,50555128,50997776,51452854,51882571,52294442,52661070,53001503,53324036,53636099,53995422,54379582,54750683,55093989,55388902,55649667,55877016,56070678,56329482,56532910,56585843,56607516,56620238,56636465,56639054,56644530,56670888,56711524,56756561,56794489,56833185,56869454,56883819,56885126,56898973,56925800,56938738,56945068,56966397,56994993,57107577,57425175,57860661,58199876,58429903,58778482,59224228,59562841,59822450,60025952,60190145,60312599,60322791,60232906,60118626,60004032,59877425,59727932,59500579,59240329,59037474,58870762
Jamaica,1407470,1448396,1482284,1509993,1533217,1552883,1570048,1586411,1603775,1622047,1642331,1663754,1683761,1703868,1725181,1746977,1768803,1790580,1812209,1834615,1859091,1886143,1915299,1945320,1974880,2003094,2029486,2054927,2080485,2106937,2135546,2166657,2199606,2232782,2264095,2292030,2315871,2336245,2354805,2373365,2392030,2411867,2434574,2459062,2484182,2509372,2532894,2554954,2576567,2596271,2612205,2625405,2638244,2651027,2664024,2676863,2689660,2701221,2711373,2722401,2733896,2746169,2759817,2773129,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695,2827377,2825544
Japan,84353049,85683474,86921764,88057140,89093019,90090281,91021560,91837665,92671295,93575985,94464839,95355458,96267883,97246712,98319344,99468746,100466907,101527852,102819279,104102077,105416839,106789355,108220404,109679470,111100023,112411640,113624865,114761516,115809525,116765509,117624196,118385723,119098142,119793752,120470727,121119031,121710305,122268885,122798302,123270648,123686321,124073993,124444693,124779576,125119269,125433969,125726223,126027985,126308390,126555063,126803861,127065731,127301750,127502352,127671288,127798373,127902167,128006426,128077633,128117042,128105431,128007257,127853688,127678924,127476735,127250933,126993857,126662472,126255866,125791677,125244761,124612530,123951692,123294513
Jordan,438386,469962,504576,541616,580796,622010,665071,709849,755904,802351,847936,891848,934615,978607,1029447,1093474,1172770,1265680,1366644,1466428,1557374,1636320,1704787,1767414,1827584,1886636,1945141,2005418,2069104,2138078,2216903,2306655,2406349,2514785,2629939,2751492,2879799,3014694,3157177,3310954,3480587,3666379,3866887,4075759,4278166,4458195,4608676,4733665,4844403,4950775,5056174,5163310,5275532,5396117,5532423,5678534,6075548,6473457,6632873,6780493,6931258,7109980,7211863,7694814,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278,11285869,11337052
Kazakhstan,6655675,6887970,7124072,7362289,7605944,7858733,8124175,8405659,8698748,9003391,9319283,9639302,9959414,10277790,10590934,10897644,11197568,11491228,11777849,12042478,12265305,12444338,12611997,12789985,12972497,13158942,13346173,13543521,13750291,13957795,14172710,14397391,14634179,14885966,15147590,15413315,15721289,16072478,16430590,16704993,16866563,16993792,17043417,16979697,16747151,16434324,16144247,15820432,15474254,15256255,15236253,15281285,15338963,15416712,15521923,15656248,15822748,16006136,16196517,16402369,16627837,16864917,17102864,17345732,17592298,17835909,18078553,18314814,18538099,18754258,18979243,19196465,19397998,19606633
Kenya,5774050,5905774,6048730,6201950,6371191,6558870,6763941,6987580,7223458,7475752,7751435,8047470,8363578,8697200,9047387,9417207,9802605,10201068,10613877,11039551,11473087,11898457,12322903,12760405,13203949,13651908,14102268,14577346,15087423,15620613,16187124,16785962,17411491,18069461,18753176,19452161,20160879,20882094,21626122,22387803,23162269,23918235,24655723,25391830,26133744,26878347,27615736,28364264,29137373,29965129,30851606,31800343,32779823,33767122,34791836,35843010,36925253,38036793,39186895,40364444,41517895,42635144,43725806,44792368,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614,54027487,55100586
Kiribati,37846,38621,39419,40250,41112,42008,42940,43906,44912,45972,47093,48275,49508,50780,52092,53444,54428,54990,55511,56324,57437,58535,59606,60598,60953,60675,60310,59894,59465,59775,60813,61875,62977,64121,65338,66708,68266,69946,71680,73436,75124,76612,77901,79093,80264,81481,82832,84308,85805,87289,88826,90531,92400,94302,96224,98164,100083,101998,103966,105996,107995,109871,111618,113311,114985,116707,118513,120362,122261,124241,126463,128874,131232,133515
Kuwait,153738,157764,161988,166439,171095,183458,204028,223274,245827,274514,305415,339697,378190,420494,465748,513840,565463,621242,681117,743044,802786,858734,913785,970527,1030426,1095998,1168791,1247225,1329074,1412266,1493870,1573026,1652921,1736028,1813986,1888975,1968093,2048477,2129153,2210013,1674938,1339500,1620633,1653645,1641106,1655222,1703318,1761468,1819544,1877427,1934901,1991674,2047364,2101506,2153481,2235403,2363409,2506769,2650930,2795550,2943356,3143825,3394663,3646518,3761584,3908743,4048085,4124904,4317185,4441100,4360444,4250114,4268873,4310108
Kyrgyzstan,1751225,1787656,1824912,1863141,1902805,1944992,1990046,2038787,2091474,2150037,2216530,2289945,2368626,2450296,2532695,2615167,2697106,2778463,2859536,2939220,3016384,3088869,3157564,3224775,3290068,3353850,3416536,3481509,3550021,3619838,3691209,3764503,3840959,3922269,3997749,4064852,4132785,4202467,4272633,4335803,4394734,4456094,4501260,4507633,4530895,4596456,4666585,4738386,4810412,4878911,4935182,4981444,5026641,5078276,5137040,5193114,5246785,5294766,5345415,5414085,5483774,5552336,5631950,5719560,5814417,5914980,6018299,6121261,6223494,6323643,6424874,6527743,6630623,6735347
Laos,1684674,1725432,1766294,1807910,1850256,1893389,1937517,1982575,2028591,2075229,2122532,2171141,2221615,2273219,2325513,2379456,2434861,2491927,2551070,2612111,2675283,2740732,2808290,2877561,2946882,3012720,3072017,3125742,3177945,3233700,3297519,3370993,3453691,3543861,3639956,3741604,3848390,3959697,4074961,4193532,4314443,4437225,4561106,4685296,4807950,4927432,5043914,5150538,5246922,5340056,5430853,5519707,5606101,5689065,5768167,5852970,5946593,6041348,6135861,6229930,6323418,6416327,6508803,6600742,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057,7529475,7633779
Latvia,1922525,1944994,1967171,1988465,2010069,2032505,2054640,2077356,2101583,2127085,2154251,2182711,2210147,2236419,2262860,2287805,2310940,2333504,2355479,2376682,2397414,2418298,2438485,2457032,2475079,2492528,2508850,2524834,2540588,2556222,2572037,2588051,2604945,2623151,2640608,2655104,2668867,2681836,2690470,2693388,2689391,2678964,2662883,2638889,2606454,2570151,2534287,2498879,2462337,2426351,2392530,2359249,2326144,2294342,2263443,2233157,2203913,2176053,2150412,2126265,2101530,2076974,2053636,2031486,2011039,1991955,1973476,1954862,1935630,1916555,1897052,1873919,1850651,1830211
Lebanon,1349588,1388215,1428095,1469430,1512263,1556327,1601855,1649151,1697139,1746544,1798092,1853295,1911959,1971511,2030440,2087445,2145646,2203202,2262291,2323823,2381791,2442137,2505965,2569841,2632880,2691586,3070419,3457617,3183405,2902164,2963702,3027222,3070133,3106990,3163558,3226750,3308010,3390870,3457148,3525502,3593700,3666734,3745407,3818796,3888144,3959640,4034243,4107551,4178784,4250020,4320642,4389200,4446666,4504807,4574797,4643044,4719864,4809608,4887613,4951135,4995800,5045056,5178337,5678851,6274342,6398940,6258619,6109252,5950839,5781907,5662923,5592631,5489739,5353930
Lesotho,579470,590004,601476,613822,627130,641361,656426,674063,694355,715629,737838,760895,784681,809138,834215,860220,887841,918923,952992,987909,1023481,1059879,1097242,1135631,1175369,1216180,1256478,1294435,1331213,1368917,1407672,1447501,1488399,1530331,1573267,1616697,1659793,1698939,1733733,1767091,1798997,1829509,1858507,1885478,1910642,1934079,1955098,1972579,1985639,1994243,1998630,1999473,1997534,1993030,1985384,1977424,1976780,1983465,1995014,2009169,2022747,2037677,2054718,2073939,2095242,2118521,2143872,2170617,2198017,2225702,2254100,2281454,2305825,2330318
Liberia,915894,933334,951883,971361,991949,1013790,1036701,1060604,1084947,1110215,1137026,1165005,1194085,1224169,1255197,1287315,1320315,1354287,1389453,1425879,1463563,1501658,1540995,1582697,1626283,1671632,1718482,1768092,1820861,1875566,1932169,1989690,2047602,2109151,2174194,2239724,2305860,2372449,2439639,2507600,2209731,1939236,2052626,2132771,2125198,2142422,2203966,2383300,2639224,2789743,2895224,2981648,3060599,3085173,3122447,3266318,3455397,3632740,3783887,3905066,4019956,4181150,4331740,4427313,4519398,4612329,4706097,4796631,4889391,4985289,5087584,5193416,5302681,5418377
Libya,1130677,1142852,1157703,1175861,1197845,1225687,1259031,1295601,1335660,1379408,1426986,1478760,1535157,1594758,1652102,1700072,1739831,1778578,1819393,1862823,1909177,1958320,2012796,2084256,2179446,2291841,2413760,2541805,2676117,2816917,2962720,3112015,3265457,3423592,3564547,3684313,3800110,3911939,4021565,4130042,4236983,4341971,4444820,4544970,4641296,4733063,4820066,4902346,4980962,5057998,5154790,5275916,5405326,5542641,5687563,5837986,5973369,6097177,6228370,6360191,6491988,6188132,5869870,5985221,6097764,6192235,6282196,6378261,6477793,6569088,6653942,6735277,6812341,6888388
Liechtenstein,13765,14005,14238,14476,14712,14945,15206,15508,15834,16151,16472,16834,17221,17625,18058,18500,18957,19467,20011,20558,21089,21517,21873,22251,22638,23030,23416,23803,24205,24616,25003,25346,25689,26055,26420,26785,27159,27542,27944,28357,28765,29168,29581,30012,30447,30890,31337,31770,32190,32615,33026,33376,33693,34000,34300,34603,34889,35150,35401,35675,35926,36189,36505,36806,37096,37355,37609,37889,38181,38482,38756,39039,39327,39584
Lithuania,2564798,2589204,2615037,2641911,2669860,2699051,2729749,2762994,2799003,2836501,2875684,2915626,2952461,2986530,3020457,3052979,3084148,3115198,3146348,3177836,3210147,3243675,3276294,3307075,3337697,3368287,3399021,3430115,3460849,3491432,3521206,3550539,3580825,3612640,3643837,3672852,3702828,3732005,3755541,3773180,3785847,3793425,3795742,3788528,3770456,3747267,3722022,3694896,3665510,3633944,3599637,3560142,3515799,3469675,3422591,3373533,3322932,3272418,3224378,3180479,3139019,3099798,3063341,3028189,2994927,2963765,2933673,2904450,2876128,2849083,2820267,2786651,2750055,2718352
Luxembourg,296584,298212,300055,301760,303507,305514,307259,308843,310585,312505,314168,316587,319852,323006,326363,329794,333130,335560,337046,338279,339342,341971,346079,349186,351387,353666,355889,358267,361069,362932,363741,364473,365020,365440,365779,366466,368170,370526,373432,376949,381267,386399,391516,396697,402043,407635,413202,418411,423574,429349,435628,441250,445913,451351,457788,464860,472404,479868,488635,497868,507070,518206,530585,543066,556069,569408,583351,596283,607913,619973,630399,639321,647599,654768
Macao,196838,200511,200829,199998,198232,195757,192720,189199,185291,181120,177014,178672,186039,193618,201380,209278,217232,225151,232929,240416,247284,249832,248669,247838,247280,246919,246661,246405,246048,245605,245332,248695,256692,266253,276591,287700,299491,311808,324478,337336,350227,362390,372370,380712,388779,396641,404297,411700,418776,425518,431896,439122,449665,462533,475529,488619,501863,515330,529038,543021,557297,571003,582766,593374,604167,615239,626688,638609,650991,663653,676283,686607,695168,704149
Madagascar,3953896,4050682,4149956,4252319,4358096,4467590,4580881,4698038,4819229,4944333,5073342,5206239,5343117,5484252,5630024,5780453,5936461,6099529,6270528,6450324,6639751,6840457,7051090,7268560,7491935,7720859,7955197,8195142,8440919,8692289,8948162,9207310,9470990,9740088,10015017,10297746,10588428,10890514,11206789,11536734,11882762,12245260,12623342,13020100,13436121,13869138,14317454,14778903,15250934,15730885,16216431,16709665,17211934,17724310,18250774,18792171,19350299,19924958,20513599,21117092,21731053,22348158,22966240,23588073,24215976,24850912,25501941,26169542,26846541,27533134,28225177,28915653,29611714,30325732
Malawi,2949739,3001113,3056297,3114930,3176123,3240318,3308682,3381111,3457376,3537432,3621081,3708193,3799155,3893628,3990361,4089097,4190764,4295762,4403430,4512861,4625141,4742480,4865978,4996239,5134199,5280965,5438226,5611712,5808810,6029140,6267369,6519891,6784347,7058317,7339002,7625078,7909819,8295993,8754781,9174895,9539665,9831584,10115420,10257233,10131799,10112816,10310528,10512678,10732456,10973956,11229387,11498818,11784498,12087965,12411342,12755648,13118307,13495463,13889423,14298932,14718422,15146094,15581251,16024775,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742,20405317,20931751
Malaysia,5972876,6118736,6273219,6435027,6605394,6786077,6977024,7178108,7385689,7602942,7833782,8074805,8324218,8579350,8835925,9091016,9340240,9582086,9821308,10061684,10306508,10552557,10801619,11062664,11335187,11617947,11910081,12218924,12543892,12875011,13215707,13564594,13921029,14292862,14686454,15108135,15558740,16033103,16524616,17020143,17517054,18017464,18526708,19050077,19588703,20136888,20689051,21249178,21810542,22368655,22945150,23542517,24142445,24739411,25333247,25923536,26509413,27092604,27664296,28217204,28717731,29184133,29660212,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221,34308525
Maldives,74484,75816,77211,78659,80193,81823,83559,85417,87387,89459,91650,93952,96332,98775,101241,104566,108713,112547,116049,119569,123243,127066,130990,134940,138944,143126,147468,151792,156025,160326,164887,169663,174523,179339,184388,190383,197225,204256,211160,217937,224957,232150,239136,245845,252201,258208,263841,269040,273796,278111,282507,287324,292284,297226,302135,307018,314401,325126,336883,349037,361575,374440,387539,400728,416738,435582,454252,472442,489758,504508,514438,521457,523787,521021
Mali,4694916,4760160,4824822,4888110,4950987,5014680,5079258,5144686,5208910,5275377,5346792,5420247,5494845,5570462,5647380,5726382,5806572,5888497,5973762,6061764,6153587,6247878,6347158,6455257,6569273,6687293,6807648,6935336,7072938,7218079,7372581,7532864,7696349,7863944,8030099,8187651,8334588,8474329,8617474,8774122,8945026,9123969,9310572,9506510,9711797,9921094,10131906,10359301,10620475,10916993,11239101,11583824,11952660,12342165,12751995,13180551,13623541,14080912,14551117,15032635,15529181,16039734,16514687,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983,22593590,23293698
Malta,291873,298188,304707,311417,317760,323596,328721,332598,335351,336970,337628,337120,335452,332894,329757,326401,322983,320151,318055,316457,315414,315099,315373,316193,317609,319619,322010,324648,327466,330471,333587,336617,339668,342886,346086,349118,352091,355169,358439,361894,365392,368670,371880,375241,378563,381849,385269,388839,392483,395983,399212,402151,404699,406919,408798,410208,411197,412081,413401,415500,418755,423571,429907,437525,446441,456579,467705,479497,491586,503635,515358,526748,533286,535064
Marshall Islands,13066,13316,13540,13747,13916,14062,14200,14329,14536,14905,15374,15867,16387,16947,17537,18154,18794,19665,21001,22623,23969,24680,25084,25522,26174,27047,27964,28912,29892,30902,31988,33219,34569,35975,37437,38962,40527,42122,43687,44988,46047,47053,48015,48944,49840,50702,51538,52358,53164,53834,54224,54413,54496,54493,54435,54337,54208,54038,53816,53593,53416,52971,52203,51352,50419,49410,48329,47187,45989,44728,43413,42050,41569,41996
Martinique,231994,237517,243381,249577,256147,262164,267474,272943,278555,284289,290092,295687,300743,305281,309579,313791,317851,321365,323841,325374,326428,327082,327389,327466,327769,328795,330286,331649,332587,333255,333786,334709,336849,340263,344344,348728,353336,358142,363112,368408,374271,380962,388246,395557,402788,409942,417045,424138,430299,433421,432543,429317,425459,419139,410135,400370,395551,395820,395474,394214,392181,389618,386986,384726,384389,383515,380345,377452,374841,372245,370391,368796,367507,366981
Mauritania,658555,673322,688702,704643,721227,738577,756727,775698,795593,816484,838478,861663,885938,911290,937830,965621,994697,1024992,1056393,1088832,1122198,1156361,1191376,1227358,1264352,1302436,1341604,1381329,1421786,1463514,1506694,1551687,1598332,1646343,1695675,1746265,1798009,1851092,1905847,1955040,2006027,2066302,2147527,2237064,2315191,2380341,2428816,2484278,2550501,2620611,2695003,2761823,2821703,2883326,2946575,3012360,3081229,3153508,3233336,3322616,3419461,3524249,3636113,3742959,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974,4736139,4862989
Mauritius,525443,540608,555889,569936,583040,596866,611531,626896,642896,659729,676683,693243,709822,726250,742480,758628,774462,789577,803759,817197,830115,842412,854036,865368,876740,888292,900166,912574,925835,940034,954865,969807,984176,998000,1011941,1025769,1039028,1051809,1064330,1076961,1090290,1104259,1118714,1133252,1147161,1160207,1172542,1184257,1194880,1205413,1215930,1225272,1233972,1242340,1250380,1258048,1264767,1270584,1275684,1279868,1283330,1286236,1288745,1290691,1292113,1293153,1293911,1294741,1295381,1296279,1297828,1298915,1299469,1300557
Mayotte,20544,20966,21411,21883,22392,22942,23520,24128,24776,25459,26165,26892,27652,28448,29282,30165,31114,32132,33191,34276,35383,36550,37806,39150,40577,42097,43713,45442,47380,49647,52233,55035,58033,61212,64587,68287,72445,77046,81983,87189,92659,98432,104553,111041,117855,124941,132191,139309,146081,152642,159215,165712,172172,178805,183750,187142,190911,195608,200986,206338,211786,217381,223573,230980,239714,249545,260283,271565,282954,294489,305587,316014,326101,335995
Mexico,27600133,28328015,29061666,29822095,30616896,31452141,32325944,33239529,34180095,35179431,36268055,37439317,38683283,39982118,41333878,42737991,44180437,45656963,47170337,48714394,50289306,51897675,53543436,55228203,56945880,58691882,60452543,62262505,64123997,65972912,67705186,69233769,70656783,72080310,73489654,74872006,76224365,77553504,78892015,80233749,81720428,83351595,84993164,86648447,88314424,89969572,91586555,93183094,94767284,96334810,97873442,99394288,100917081,102429341,103945813,105442402,106886790,108302973,109684489,111049428,112532401,114150481,115755909,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138,127504125,128455567
Micronesia,161656,164738,167971,171367,174875,178572,182477,186541,190870,195529,200558,205933,211560,217316,223173,229207,234857,239900,244917,250335,256866,264191,271557,278734,284671,289396,293906,298429,303173,308959,316885,326826,337535,348714,360362,372310,384621,397163,409466,421103,430931,438677,446243,454161,461614,468846,478860,491606,504460,517056,525386,528086,528813,528831,528241,527045,525240,523014,520588,518152,516770,517420,519192,520966,522563,524049,525500,526833,527950,528878,531088,534606,539013,544321
Moldova,2370311,2430564,2494779,2563597,2637035,2714714,2795865,2879651,2964841,3049756,3133267,3213979,3289323,3358162,3420198,3476796,3529794,3579245,3625655,3669484,3711140,3751337,3790996,3831275,3872281,3913586,3954568,3994206,4031773,4067626,4103240,4139686,4178053,4218421,4259952,4300695,4343283,4388483,4428709,4459383,4480199,4490927,4494902,4493689,4482507,4461231,4430195,4393789,4353534,4303938,4251573,4200501,4147642,4093982,4046995,4001382,3942748,3876843,3812422,3749492,3678186,3595126,3507191,3416530,3338336,3277388,3225123,3180506,3141837,3109491,3084847,3061506,3272996,3435931
Monaco,19729,19901,19663,20016,20270,20430,20688,21063,21383,21628,21797,21907,22106,22442,22766,23022,23198,23281,23481,23875,24270,24610,24889,25102,25262,25524,25898,26242,26553,26834,27076,27284,27573,27985,28407,28807,29171,29500,29802,30078,30329,30564,30794,31024,31253,31482,31719,31968,32209,32394,32465,32444,32386,32316,32236,32141,32011,31823,31862,32401,33178,33945,34700,35425,36110,36760,37071,37044,37029,37034,36922,36686,36469,36297
Mongolia,781260,793053,805031,817516,830702,844997,864379,888961,915702,945438,977903,1011502,1045315,1075888,1104017,1134072,1165746,1198197,1230406,1261887,1293880,1327781,1363835,1402309,1443130,1485691,1529084,1572516,1615868,1657448,1697780,1739221,1781797,1825773,1871652,1919744,1969912,2021502,2073771,2120825,2161433,2200077,2236494,2270311,2301510,2330334,2357033,2381771,2405148,2428488,2450979,2472601,2494617,2516454,2537949,2559255,2581242,2605643,2633887,2666713,2702520,2743938,2792349,2845153,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782,3398366,3447157
Montenegro,402260,409627,418813,427822,434964,441379,447680,453959,460314,466729,473046,479331,485542,491567,497437,503188,508895,514503,519966,525261,530268,535486,541265,547215,553228,559279,565337,571406,577409,583337,589324,594062,596968,599330,601821,604622,607629,610811,614267,617860,621442,624954,627665,629554,630968,632066,633004,633607,633903,633723,633324,633065,632737,632351,632545,632875,632545,631923,631466,631182,631044,631788,633051,633946,634294,633966,633264,632438,631455,630396,629048,627859,627082,626485
Montserrat,12989,12974,12940,13052,13363,13432,13204,12938,12633,12319,12100,11996,11927,11862,11797,11725,11653,11588,11523,11450,11402,11411,11444,11476,11506,11533,11553,11553,11543,11519,11452,11369,11298,11232,11168,11113,11070,11020,10961,10894,10805,10569,10108,9547,8959,8342,7715,7069,6409,5767,5138,4704,4601,4627,4656,4693,4731,4769,4814,4871,4938,4961,4975,5010,5051,5059,5085,4699,4359,4505,4500,4417,4390,4386
Morocco,8946209,9188594,9438849,9696704,9963626,10242168,10531688,10831987,11138237,11452433,11769774,12081713,12404757,12726686,13044254,13381880,13738502,14109755,14490077,14876982,15274351,15677300,16081438,16489452,16902383,17325325,17756516,18206472,18679859,19167661,19678444,20208260,20746765,21287381,21817271,22335077,22824446,23279935,23720590,24148104,24570814,24988083,25400676,25806777,26201551,26599048,26999093,27397118,27791825,28176997,28554415,28930097,29301817,29661270,30033125,30431902,30833022,31232633,31634992,32042877,32464865,32903699,33352169,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584,37457971,37840044
Mozambique,5920215,6002280,6082380,6159685,6237194,6318904,6404163,6492820,6580333,6675660,6788375,6917521,7060376,7209807,7363639,7524154,7689643,7859471,8035529,8217930,8411676,8622890,8860585,9123668,9404221,9703732,10019210,10363575,10741128,11127844,11413587,11640015,11901827,12163328,12426223,12680065,12909797,12964793,12956772,13087604,13303459,13561175,13816881,14206254,14912873,15594830,16079553,16521724,16923195,17337893,17768505,18220716,18694946,19186754,19694411,20211114,20735982,21280513,21845571,22436660,23073723,23760421,24487611,25251731,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072,32969518,33897354
Myanmar,17731818,18053722,18391995,18749629,19126425,19522788,19935514,20363510,20801170,21252042,21720697,22203109,22699703,23210687,23737818,24286878,24854704,25440029,26044111,26659479,27284112,27914953,28551949,29165356,29751936,30344276,30941375,31554598,32185601,32821779,33465781,34110098,34742586,35424262,36159838,36881020,37572340,38233171,38868270,39489419,40099553,40680533,41237813,41788302,42337109,42880186,43423369,43972046,44516185,45041636,45538332,46014826,46480230,46924293,47338446,47724471,48088274,48445647,48729486,49015836,49390988,49794522,50218185,50648334,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084,54179306,54577997
Namibia,514774,520828,527153,533747,540483,547430,554699,562452,570845,580030,590181,601424,613808,627358,642054,657887,674818,693063,712427,732881,754467,776995,800610,824918,850091,876572,901840,926109,942023,957334,975994,987394,1005520,1033085,1061995,1093311,1127989,1165430,1207949,1288070,1369011,1415617,1461687,1509834,1558449,1605370,1650066,1693242,1735953,1778277,1819141,1856402,1888525,1915425,1939406,1962865,1986558,2011492,2038552,2067919,2099271,2132340,2167470,2204510,2243001,2282704,2323352,2364534,2405680,2446644,2489098,2530151,2567012,2604172
Nauru,3354,3408,3512,3607,3700,3818,3963,4112,4258,4414,4582,4753,4950,5198,5484,5804,6021,6114,6288,6508,6663,6778,6883,6990,7096,7199,7306,7441,7541,7586,7635,7691,7672,7832,8125,8313,8527,8759,9022,9306,9598,9902,10129,10226,10274,10316,10345,10363,10377,10383,10377,10363,10351,10344,10335,10318,10294,10267,10243,10233,10241,10283,10444,10694,10940,11185,11437,11682,11924,12132,12315,12511,12668,12780
Nepal,8398945,8579831,8759894,8936482,9110777,9284895,9458896,9633243,9805019,9980681,10167941,10365144,10570716,10782717,11002819,11232951,11470199,11715579,11970411,12231874,12501285,12774870,13052220,13335963,13626301,13925541,14230738,14550430,14888770,15238564,15600442,15969792,16347124,16740664,17141610,17540571,17936926,18326204,18720745,19145077,19616530,20130779,20702133,21267359,21794751,22305571,22783969,23249417,23703328,24143157,24559500,24956071,25332178,25682908,26003965,26285110,26518971,26713655,26881544,27026941,27161567,27266399,27330694,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989,30547580,30896590
Netherlands,10093554,10226295,10361805,10497290,10631383,10767906,10905345,11046130,11191752,11341765,11493117,11647367,11803458,11958415,12117829,12275791,12426787,12576967,12727200,12881249,13037686,13186712,13324176,13447570,13560532,13663969,13760112,13855566,13949408,14040287,14130387,14217318,14296533,14369647,14441927,14515704,14592531,14675301,14762318,14850225,14944548,15046584,15150685,15251086,15349478,15446668,15538616,15629905,15722594,15812487,15899135,15981636,16057040,16127579,16196035,16261831,16325677,16391232,16460770,16536208,16617117,16701472,16785299,16867352,16954081,17041107,17124505,17207198,17286042,17363262,17434557,17501696,17564014,17618299
New Caledonia,63860,64941,66090,67315,68614,69989,71602,73665,76049,78575,81236,84029,86877,89624,92231,94803,97453,100200,103162,106691,110982,115793,120866,126118,131481,136601,140673,143370,145262,146947,148599,150228,151967,154101,156755,159702,162797,166055,169474,173156,177264,181720,186262,190782,195264,199701,204086,208421,212756,217118,221537,225987,230399,234685,238649,242141,245635,249367,253077,256976,261426,266303,271303,276394,280798,283032,283748,284349,284880,285374,286403,287800,289950,292991
New Zealand,1911608,1952124,1998948,2048965,2096332,2140976,2186348,2235321,2286559,2335010,2381189,2431617,2486311,2540026,2590648,2638316,2684356,2725198,2756419,2786352,2824061,2868885,2920878,2980638,3042812,3095428,3127812,3141174,3143300,3142539,3147168,3160622,3185721,3219827,3250340,3268356,3281671,3299450,3316002,3333755,3397389,3481599,3532563,3573742,3620890,3673893,3728457,3775852,3810044,3833494,3855266,3889579,3948584,4019941,4081409,4132781,4179978,4221494,4260239,4302886,4346338,4381269,4410284,4450644,4514195,4590590,4668081,4746252,4838526,4959034,5061133,5129727,5185288,5228100
Nicaragua,1330442,1369713,1409845,1451493,1494674,1539551,1586169,1634509,1684589,1736396,1789684,1844630,1901451,1960155,2020941,2084097,2150003,2219001,2291300,2366635,2444767,2525481,2603182,2682747,2769211,2857461,2947454,3038680,3128544,3214311,3303309,3397659,3491906,3584610,3674501,3763034,3852017,3941463,4033291,4129447,4227820,4327289,4427172,4526689,4625260,4721929,4812391,4895962,4974552,5049878,5123222,5192764,5259006,5323062,5386223,5454678,5529811,5607453,5687744,5770639,5855734,5942553,6030607,6119379,6208676,6298598,6389235,6480532,6572233,6663924,6755895,6850540,6948392,7046310
