Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Kenya,KEN,2020,1257945,1230298,1230298,1405043,1216474,1230298,1216474,1230298,1271768
Kenya,KEN,2021,1267787,1267787,1267787,1414928,1239923,1267787,1239923,1267787,1351377
Kiribati,KIR,1980,,823,192,2078,,,,,1264
Kiribati,KIR,1981,,577,398,2114,,,,,1354
Kiribati,KIR,1982,,1074,811,2181,,,,,1845
Kiribati,KIR,1983,,837,523,2244,502,,,,1506
Kiribati,KIR,1984,,388,496,2303,172,,,,1164
Kiribati,KIR,1985,,821,333,2368,89,,,,1375
Kiribati,KIR,1986,,847,229,2430,206,,,,1488
Kiribati,KIR,1987,,848,118,2479,330,,,,1602
Kiribati,KIR,1988,,1516,1492,2523,1300,,,,2359
Kiribati,KIR,1989,,1938,2110,2563,1545,,,,2428
Kiribati,KIR,1990,1820,2418,2418,2599,1870,,,,2318
Kiribati,KIR,1991,177,1769,1921,2632,1567,,,,2375
Kiribati,KIR,1992,154,2203,2306,2649,1973,,,,2024
Kiribati,KIR,1993,206,2553,2553,2640,2295,,,,2244
Kiribati,KIR,1994,926,1826,2083,2631,1800,,,,1543
Kiribati,KIR,1995,924,1540,1489,2628,1206,,,,1206
Kiribati,KIR,1996,1697,2031,2108,2644,1645,,,,2545
Kiribati,KIR,1997,2513,2358,2410,2660,2125,,,,2565
Kiribati,KIR,1998,2321,2295,2165,2656,2008,,,,2530
Kiribati,KIR,1999,2138,2033,1981,2646,1616,,,,1825
Kiribati,KIR,2000,2339,2339,2339,2627,2079,,,,2079
Kiribati,KIR,2001,2202,2202,2280,2607,1969,,,,2202
Kiribati,KIR,2002,2036,1984,2474,2586,2268,,,,2268
Kiribati,KIR,2003,1865,1789,2018,2568,1840,,,,2325
Kiribati,KIR,2004,1701,1574,1549,2603,1422,,1422,,2387
Kiribati,KIR,2005,1286,2032,1903,2682,2186,,2186,,2392
Kiribati,KIR,2006,2330,2277,2277,2768,1615,,1615,,2410
Kiribati,KIR,2007,2619,2564,2537,2873,2537,,2537,,2455
Kiribati,KIR,2008,2351,2323,2096,2985,2040,2351,2040,,2351
Kiribati,KIR,2009,2530,2530,2471,3079,2412,2530,2412,,2236
Kiribati,KIR,2010,2761,2761,2882,3160,2700,2761,2700,,2640
Kiribati,KIR,2011,2964,3089,2964,3241,2808,2964,2808,,2683
Kiribati,KIR,2012,3015,3015,2950,3284,2918,3015,2918,,3047
Kiribati,KIR,2013,3088,3088,2958,3287,2958,3088,2958,,2796
Kiribati,KIR,2014,2441,2441,2571,3284,2864,2441,2864,,2344
Kiribati,KIR,2015,2667,2537,2602,3285,2732,2667,2732,1203,2569
Kiribati,KIR,2016,2637,2637,2669,3297,2604,2637,2604,2571,2571
Kiribati,KIR,2017,2942,2942,2942,3318,2648,2942,2648,2975,2909
Kiribati,KIR,2018,3127,3127,3062,3349,2765,3127,2765,3193,2963
Kiribati,KIR,2019,3124,3223,3124,3370,3124,3157,3124,3290,3057
Kiribati,KIR,2020,3077,3077,3044,3380,2743,3077,2743,2977,3111
Kiribati,KIR,2021,3152,3085,3051,3390,2682,3185,2682,2682,3219
Kosovo,OWID_KOS,1980,,,,49056,,,,,
Kosovo,OWID_KOS,1981,,,,50277,,,,,
Kosovo,OWID_KOS,1982,,,,51132,,,,,
Kosovo,OWID_KOS,1983,,,,53729,,,,,
Kosovo,OWID_KOS,1984,,,,54574,,,,,
Kosovo,OWID_KOS,1985,,,,54163,,,,,
Kosovo,OWID_KOS,1986,,,,53172,,,,,
Kosovo,OWID_KOS,1987,,,,51209,,,,,
Kosovo,OWID_KOS,1988,,,,51710,,,,,
Kosovo,OWID_KOS,1989,,,,54518,,,,,
Kosovo,OWID_KOS,1990,,,,55834,,,,,
Kosovo,OWID_KOS,1991,,,,53981,,,,,
Kosovo,OWID_KOS,1992,,,,47601,,,,,
Kosovo,OWID_KOS,1993,,,,43527,,,,,
Kosovo,OWID_KOS,1994,,,,42767,,,,,
Kosovo,OWID_KOS,1995,,,,43066,,,,,
Kosovo,OWID_KOS,1996,,,,44285,,,,,
Kosovo,OWID_KOS,1997,,,,45134,,,,,
Kosovo,OWID_KOS,1998,,,,43779,,,,,
Kosovo,OWID_KOS,1999,,,,38185,,,,,
Kosovo,OWID_KOS,2000,,,,32590,,,,,
Kosovo,OWID_KOS,2001,,,,31084,,,,,
Kosovo,OWID_KOS,2002,,,,31188,,,,,
Kosovo,OWID_KOS,2003,,,,31116,,,,,
Kosovo,OWID_KOS,2004,,,,30934,,,,,
Kosovo,OWID_KOS,2005,,,,30693,,,,,
Kosovo,OWID_KOS,2006,,,,30416,,,,,
Kosovo,OWID_KOS,2007,,,,30203,,,,,
Kosovo,OWID_KOS,2008,,,,30247,,,,,
Kosovo,OWID_KOS,2009,,,,30606,,,,,
Kosovo,OWID_KOS,2010,,,,31285,,,,,
Kosovo,OWID_KOS,2011,,,,30373,,,,,
Kosovo,OWID_KOS,2012,,,,29182,,,,,
Kosovo,OWID_KOS,2013,,,,29806,,,,,
Kosovo,OWID_KOS,2014,,,,28090,,,,,
Kosovo,OWID_KOS,2015,,,,24779,,,,,
Kosovo,OWID_KOS,2016,,,,22857,,,,,
Kosovo,OWID_KOS,2017,,,,21721,,,,,
Kosovo,OWID_KOS,2018,,,,20800,,,,,
Kosovo,OWID_KOS,2019,,,,19527,,,,,
Kosovo,OWID_KOS,2020,,,,18631,,,,,
Kosovo,OWID_KOS,2021,,,,18341,,,,,
Kuwait,KWT,1980,,33470,34968,50708,23978,,,,
Kuwait,KWT,1981,,40910,40910,52070,36767,,,,
Kuwait,KWT,1982,,44340,44874,53805,42203,,,,
Kuwait,KWT,1983,,49164,49716,55917,44192,,,,
Kuwait,KWT,1984,,50746,50746,57372,50176,,,,
Kuwait,KWT,1985,,52498,53081,57336,53081,,,,
Kuwait,KWT,1986,,52835,52835,56319,53996,,,,
Kuwait,KWT,1987,,52079,52645,54793,53778,,,,
Kuwait,KWT,1988,,51817,51817,53039,53470,,,,
Kuwait,KWT,1989,,50204,50204,51691,52341,,,,
Kuwait,KWT,1990,,26845,26845,36811,24955,,,,
Kuwait,KWT,1991,,21996,21996,27502,20621,,,,
Kuwait,KWT,1992,12453,28838,29165,32638,27854,,,,
Kuwait,KWT,1993,31199,33256,33256,33861,32571,,,,
Kuwait,KWT,1994,33462,35621,35621,36605,35261,,,,
Kuwait,KWT,1995,37138,37138,37138,38974,36763,,36763,,
Kuwait,KWT,1996,38223,38223,38223,39926,38223,,38223,,
Kuwait,KWT,1997,38538,37752,38932,40487,37359,,37359,,
Kuwait,KWT,1998,39472,37877,37479,40880,39472,37479,39472,,
Kuwait,KWT,1999,38233,37830,37830,41166,38635,37830,38635,,
Kuwait,KWT,2000,38466,39681,38062,41284,40086,39681,40086,,
Kuwait,KWT,2001,40144,40144,40144,41186,40144,40144,40144,,
Kuwait,KWT,2002,39969,39969,39969,40828,39162,39969,39162,,
Kuwait,KWT,2003,39520,39520,39520,40160,38721,39520,38721,,
Kuwait,KWT,2004,36790,38355,38355,39065,37964,38355,37964,,
Kuwait,KWT,2005,38373,38373,38373,42154,38373,38373,38373,,
Kuwait,KWT,2006,42074,42074,42074,48414,42074,42074,42074,,35699
Kuwait,KWT,2007,47784,47784,47784,51642,47784,47784,47784,,45371
Kuwait,KWT,2008,50473,50473,50473,53065,50473,50473,50473,,50473
Kuwait,KWT,2009,51637,51637,51637,54327,51637,51637,51637,,51637
Kuwait,KWT,2010,52695,52162,52162,58431,52162,52162,52162,,52162
Kuwait,KWT,2011,57247,57247,57247,63029,57247,57247,57247,,57247
Kuwait,KWT,2012,61670,61670,61670,64957,62300,61670,62300,,61041
Kuwait,KWT,2013,64021,64021,64021,66245,64021,64021,64021,,64021
Kuwait,KWT,2014,62466,61816,61165,64602.996,61165,61816,61165,,64418
Kuwait,KWT,2015,63422,63422,63422,61641,59579,63422,59579,,63422
Kuwait,KWT,2016,61372,61372,61372,59349,61372,61372,61372,,59512
Kuwait,KWT,2017,59586,59586,59586,58089,59586,59586,59586,1806,59586
Kuwait,KWT,2018,53710,53710,57842,56984,57842,53710,57842,40725,56661
Kuwait,KWT,2019,51940,51940,54762,54023,54762,51940,54762,40084,54762
Kuwait,KWT,2020,48611,48611,49656,51054,49656,48611,49656,38157,51225
Kuwait,KWT,2021,46652,46652,46652,46760,46652,46652,46652,37222,49134
Kyrgyzstan,KGZ,1980,,,,107374,,,,,
Kyrgyzstan,KGZ,1981,,,,109599,,,,,
Kyrgyzstan,KGZ,1982,,,,113730,,,,,
Kyrgyzstan,KGZ,1983,,,,118097,,,,,
Kyrgyzstan,KGZ,1984,,,,123738,,,,,
Kyrgyzstan,KGZ,1985,,,,128061.01,,,,,
Kyrgyzstan,KGZ,1986,,,,130792.01,,,,,
Kyrgyzstan,KGZ,1987,,,,133428,,,,,
Kyrgyzstan,KGZ,1988,,,,132983,,,,,
Kyrgyzstan,KGZ,1989,,,,132388,,,,,
Kyrgyzstan,KGZ,1990,,,,132289,,,,,
Kyrgyzstan,KGZ,1991,,,,130873,,,,,
Kyrgyzstan,KGZ,1992,,108109,117118,129259.99,120979,,,,124840
Kyrgyzstan,KGZ,1993,,81323,87676,125400,118172,,,,120714
Kyrgyzstan,KGZ,1994,,101125,103591,120796,108524,,,,119623
Kyrgyzstan,KGZ,1995,,110589,114156,119770,115346,,,,114156
Kyrgyzstan,KGZ,1996,,115651,110930,117650,115651,,,,116831
Kyrgyzstan,KGZ,1997,,113726,114887,112151,113726,,,,112566
Kyrgyzstan,KGZ,1998,,107422,107422,108609,108529,,,,104099
Kyrgyzstan,KGZ,1999,10735,106276,106276,106828,106276,,,,106276
Kyrgyzstan,KGZ,2000,46494,104612,104612,104489,103556,,,,101442
Kyrgyzstan,KGZ,2001,58957,102399,102399,103215,102399,,102399,,102399
Kyrgyzstan,KGZ,2002,101231,100209,101231,104380,100209,,100209,,101231
Kyrgyzstan,KGZ,2003,102452,101417,101417,106547,102452,,102452,,102452
Kyrgyzstan,KGZ,2004,104652,104652,103595,109948,104652,,104652,,103595
Kyrgyzstan,KGZ,2005,105864,106955,106955,113781,108047,,108047,,104772
Kyrgyzstan,KGZ,2006,101694,103954,105083,118270,109603,,109603,,111863
Kyrgyzstan,KGZ,2007,110443,110443,110443,124157,116318,,116318,,115143
Kyrgyzstan,KGZ,2008,119698,117230,117230,130395.01,122166,,122166,,122166
Kyrgyzstan,KGZ,2009,124500,123204,124500,137679,128391,,128391,,127094
Kyrgyzstan,KGZ,2010,131516,131516,120556,145522,135626,131516,135626,,134256
Kyrgyzstan,KGZ,2011,139065,139065,136167,152661,140513,139065,140513,,141962
Kyrgyzstan,KGZ,2012,145955,145955,142914,157889,148995,145955,148995,,148995
Kyrgyzstan,KGZ,2013,152581,152581,152581,160899,155727,152581,155727,,154154
Kyrgyzstan,KGZ,2014,153935,153935,152332,163296,153935,153935,153935,,155539
Kyrgyzstan,KGZ,2015,157896,157896,157896,164806,161151,157896,161151,,157896
Kyrgyzstan,KGZ,2016,157743,157743,159387,163946,159387,157743,159387,,159387
Kyrgyzstan,KGZ,2017,150403,150403,152037,162650,155307,150403,155307,,158577
Kyrgyzstan,KGZ,2018,152468,152468,149224,164781,155712,150846,155712,,157334
Kyrgyzstan,KGZ,2019,156120,156120,157764,165788,157764,154477,157764,,157764
Kyrgyzstan,KGZ,2020,142216,143869,143869,161403,152138,142216,152138,85991,158752
Kyrgyzstan,KGZ,2021,143302,143302,144913,156947,149743,141692,149743,144913,156184
Land-locked developing countries (LLDC),,1980,,,,8173211,,,,,
Land-locked developing countries (LLDC),,1981,,,,8320422,,,,,
Land-locked developing countries (LLDC),,1982,,,,8515767,,,,,
Land-locked developing countries (LLDC),,1983,,,,8725834,,,,,
Land-locked developing countries (LLDC),,1984,,,,8971054,,,,,
Land-locked developing countries (LLDC),,1985,,,,9238746,,,,,
Land-locked developing countries (LLDC),,1986,,,,9484350,,,,,
Land-locked developing countries (LLDC),,1987,,,,9733567,,,,,
Land-locked developing countries (LLDC),,1988,,,,9935947,,,,,
Land-locked developing countries (LLDC),,1989,,,,10111532,,,,,
Land-locked developing countries (LLDC),,1990,,,,10305252,,,,,
Land-locked developing countries (LLDC),,1991,,,,10512221,,,,,
Land-locked developing countries (LLDC),,1992,,,,10738373,,,,,
Land-locked developing countries (LLDC),,1993,,,,10944523,,,,,
Land-locked developing countries (LLDC),,1994,,,,11039485,,,,,
Land-locked developing countries (LLDC),,1995,,,,11139342,,,,,
Land-locked developing countries (LLDC),,1996,,,,11323415,,,,,
Land-locked developing countries (LLDC),,1997,,,,11458563,,,,,
Land-locked developing countries (LLDC),,1998,,,,11559314,,,,,
Land-locked developing countries (LLDC),,1999,,,,11704501,,,,,
Land-locked developing countries (LLDC),,2000,,,,11860877,,,,,
Land-locked developing countries (LLDC),,2001,,,,12014780,,,,,
Land-locked developing countries (LLDC),,2002,,,,12241256,,,,,
Land-locked developing countries (LLDC),,2003,,,,12468844,,,,,
Land-locked developing countries (LLDC),,2004,,,,12685148,,,,,
Land-locked developing countries (LLDC),,2005,,,,12925153,,,,,
Land-locked developing countries (LLDC),,2006,,,,13173581,,,,,
Land-locked developing countries (LLDC),,2007,,,,13435104,,,,,
Land-locked developing countries (LLDC),,2008,,,,13666065,,,,,
Land-locked developing countries (LLDC),,2009,,,,13892505,,,,,
Land-locked developing countries (LLDC),,2010,,,,14138105,,,,,
Land-locked developing countries (LLDC),,2011,,,,14366615,,,,,
Land-locked developing countries (LLDC),,2012,,,,14592966,,,,,
Land-locked developing countries (LLDC),,2013,,,,14809531,,,,,
Land-locked developing countries (LLDC),,2014,,,,15029503,,,,,
Land-locked developing countries (LLDC),,2015,,,,15245274,,,,,
Land-locked developing countries (LLDC),,2016,,,,15420359,,,,,
Land-locked developing countries (LLDC),,2017,,,,15563049,,,,,
Land-locked developing countries (LLDC),,2018,,,,15773546,,,,,
Land-locked developing countries (LLDC),,2019,,,,16070522,,,,,
Land-locked developing countries (LLDC),,2020,,,,16359414,,,,,
Land-locked developing countries (LLDC),,2021,,,,16591539,,,,,
Laos,LAO,1980,,,,128673.01,,,,,
Laos,LAO,1981,,8385,8385,131511,8385,,,,4792
Laos,LAO,1982,,8594,8594,135020,8594,,,,7367
Laos,LAO,1983,,8846,8846,139039,8846,,,,8846
Laos,LAO,1984,,6520,6520,143392,7825,,,,9129
Laos,LAO,1985,,5391,5391,147786,8086,,,,10782
Laos,LAO,1986,,6959,8351,152015,13918,,,,13918
Laos,LAO,1987,,14344,14344,156142,15778,,,,21516
Laos,LAO,1988,,25094,25094,160192,33951,,,,39856
Laos,LAO,1989,,31862,33379,164329,30345,,,,44000
Laos,LAO,1990,,28071,40547,168427,49904,,,,40547
Laos,LAO,1991,,35240,35240,172269,75286,,,,54463
Laos,LAO,1992,,37763,44330,175393,75525,,,,55823
Laos,LAO,1993,,41875,43550,177777,77050,,,,70350
Laos,LAO,1994,,81649,98660,178609,124175,,,,117371
Laos,LAO,1995,,92469,109593,177770,116443,,,,106168
Laos,LAO,1996,,99070,116151,176668,124692,,,,104195
Laos,LAO,1997,,101243,116429,176490,113054,,,,97868
Laos,LAO,1998,,90318,112062,175786,118752,,,,93663
Laos,LAO,1999,,91730,106740,173835,118415,,,,105072
Laos,LAO,2000,,84385,94312,172279,69493,,,,114167
Laos,LAO,2001,,85515,90449,170493,82226,,,,98671
Laos,LAO,2002,,86429,89691,167891,89691,,,,105998
Laos,LAO,2003,80346,78739,83560,164633,67491,,,,104450
Laos,LAO,2004,70910,70910,72485,161370,56728,,,,94546
Laos,LAO,2005,75871,75871,77420,161834,63484,,,,100645
Laos,LAO,2006,88742,88742,87185,163895,74730,,,,94970
Laos,LAO,2007,78927,78927,72613,163620,63142,,,,88398
Laos,LAO,2008,96319,96319,94740,162835,82108,,,,107372
Laos,LAO,2009,105433,105433,105433,161905,92844,,,,105433
Laos,LAO,2010,115904,115904,119037,160803,100241,115904,,,112771
Laos,LAO,2011,118324,118324,121437,159660,104312,118324,,,121437
Laos,LAO,2012,119125,119125,117578,158776,106749,119125,106749,,131502
Laos,LAO,2013,127838,127838,126298,158186,120137,127838,120137,,133999
Laos,LAO,2014,127534,127534,127534,157216,124461,127534,124461,,136753
Laos,LAO,2015,127945,127945,127945,158287,124862,127945,124862,,137194
Laos,LAO,2016,129996,129996,129996,160335,126864,129996,126864,,139394
Laos,LAO,2017,133363,133363,133363,160525,136539,133363,136539,,144477
Laos,LAO,2018,135187,135187,135187,160108,136777,135187,136777,,146320
Laos,LAO,2019,126965,126965,126965,159474,131726,126965,131726,,134900
Laos,LAO,2020,124942,124942,123361,159244,124942,124942,124942,,142340
Laos,LAO,2021,118496,118496,116916,158809,115336,118496,115336,,126395
Latin America and the Caribbean (UN),,1980,,,,11059672,,,,,
Latin America and the Caribbean (UN),,1981,,,,11183805,,,,,
Latin America and the Caribbean (UN),,1982,,,,11285213,,,,,
Latin America and the Caribbean (UN),,1983,,,,11352661,,,,,
Latin America and the Caribbean (UN),,1984,,,,11396044,,,,,
Latin America and the Caribbean (UN),,1985,,,,11430576,,,,,
Latin America and the Caribbean (UN),,1986,,,,11462374,,,,,
Latin America and the Caribbean (UN),,1987,,,,11498745,,,,,
Latin America and the Caribbean (UN),,1988,,,,11532977,,,,,
Latin America and the Caribbean (UN),,1989,,,,11548055,,,,,
Latin America and the Caribbean (UN),,1990,,,,11573367,,,,,
Latin America and the Caribbean (UN),,1991,,,,11589927,,,,,
Latin America and the Caribbean (UN),,1992,,,,11561495,,,,,
Latin America and the Caribbean (UN),,1993,,,,11544175,,,,,
Latin America and the Caribbean (UN),,1994,,,,11548379,,,,,
Latin America and the Caribbean (UN),,1995,,,,11539753,,,,,
Latin America and the Caribbean (UN),,1996,,,,11498470,,,,,
Latin America and the Caribbean (UN),,1997,,,,11441844,,,,,
Latin America and the Caribbean (UN),,1998,,,,11407496,,,,,
Latin America and the Caribbean (UN),,1999,,,,11368466,,,,,
Latin America and the Caribbean (UN),,2000,,,,11325680,,,,,
Latin America and the Caribbean (UN),,2001,,,,11262552,,,,,
Latin America and the Caribbean (UN),,2002,,,,11156831,,,,,
Latin America and the Caribbean (UN),,2003,,,,11032461,,,,,
Latin America and the Caribbean (UN),,2004,,,,10954495,,,,,
Latin America and the Caribbean (UN),,2005,,,,10924191,,,,,
Latin America and the Caribbean (UN),,2006,,,,10868186,,,,,
Latin America and the Caribbean (UN),,2007,,,,10796452,,,,,
Latin America and the Caribbean (UN),,2008,,,,10732940,,,,,
Latin America and the Caribbean (UN),,2009,,,,10700832,,,,,
Latin America and the Caribbean (UN),,2010,,,,10687934,,,,,
Latin America and the Caribbean (UN),,2011,,,,10679861,,,,,
Latin America and the Caribbean (UN),,2012,,,,10646951,,,,,
Latin America and the Caribbean (UN),,2013,,,,10571090,,,,,
Latin America and the Caribbean (UN),,2014,,,,10523038,,,,,
Latin America and the Caribbean (UN),,2015,,,,10503246,,,,,
Latin America and the Caribbean (UN),,2016,,,,10390656,,,,,
Latin America and the Caribbean (UN),,2017,,,,10265690,,,,,
Latin America and the Caribbean (UN),,2018,,,,10170271,,,,,
Latin America and the Caribbean (UN),,2019,,,,10004419,,,,,
Latin America and the Caribbean (UN),,2020,,,,9820726,,,,,
Latin America and the Caribbean (UN),,2021,,,,9661352,,,,,
Latvia,LVA,1980,,,,34839,,,,,
Latvia,LVA,1981,,,,35623,,,,,
Latvia,LVA,1982,,,,36843,,,,,
Latvia,LVA,1983,,,,39231,,,,,
Latvia,LVA,1984,,,,40850,,,,,
Latvia,LVA,1985,,,,40590,,,,,
Latvia,LVA,1986,,,,41002,,,,,
Latvia,LVA,1987,,,,41797,,,,,
Latvia,LVA,1988,,,,41072,,,,,
Latvia,LVA,1989,,,,39143,,,,,
Latvia,LVA,1990,,,,37203,,,,,
Latvia,LVA,1991,,,,35069,,,,,
Latvia,LVA,1992,,31067,33924,32285,33924,,,,33209
Latvia,LVA,1993,,26384,27373,28895,26384,,26384,,30012
Latvia,LVA,1994,,28767,29064,25573,24022,2966,24022,,29360
Latvia,LVA,1995,,25849,25849,22963,21365,15299,21365,,26113
Latvia,LVA,1996,,22114,22114,20660,22828,8323,22828,,23541
Latvia,LVA,1997,,19761,19761,19131,20835,14391,20835,,21264
Latvia,LVA,1998,1793,18730,18730,18259,19327,9365,19327,,19726
Latvia,LVA,1999,17883,18073,18073,18340,18453,14458,18453,,18834
Latvia,LVA,2000,18138,18329,18329,19087,18520,15083,18520,,18902
Latvia,LVA,2001,18972,19169,19169,19137,19367,16600,19367,,19564
Latvia,LVA,2002,19326,19128,19326,18939,19326,17156,19326,,19523
Latvia,LVA,2003,19085,19085,19085,19424,19085,18695,19085,,18890
Latvia,LVA,2004,19507,19706,19706,19523,19507,19507,19507,,19507
Latvia,LVA,2005,19766,19766,19766,19824,19567,19766,19567,,19367
Latvia,LVA,2006,19011,19415,19415,20843,19820,19415,19820,,19213
Latvia,LVA,2007,19287,19923,19923,21712,20135,19923,20135,,20135
Latvia,LVA,2008,20491,20711,20711,22254,21152,20711,21152,,20931
Latvia,LVA,2009,20750,21201,21201,21455,20750,21201,20750,,21652
Latvia,LVA,2010,19788,20005,20005,19721,20658,19570,20658,,20005
Latvia,LVA,2011,17795,18394,18394,18596,18394,18195,18394,,18594
Latvia,LVA,2012,16960,17148,17148,18784,16960,16960,16960,,17713
Latvia,LVA,2013,17884,17884,17884,19669,18265,17884,18265,,17884
Latvia,LVA,2014,18325,18325,18325,20573,18923,18325,18923,,18325
Latvia,LVA,2015,19576,19576,19576,21162,19992,19576,19992,,19367
Latvia,LVA,2016,20990,20990,20990,21149,19919,20990,19919,9210,20561
Latvia,LVA,2017,20983,20983,20983,20510,20555,20983,20555,16701,20555
Latvia,LVA,2018,19934,19934,19934,19258,20350,19934,20350,16404,19727
Latvia,LVA,2019,19305,19305,19305,18236,19305,19305,19305,16575,18720
Latvia,LVA,2020,18266,18266,18266,17337,18266,18266,18266,15867,18266
Latvia,LVA,2021,16477,16477,16477,16546,17003,16302,17003,14724,16828
Least developed countries,,1980,,,,16581623,,,,,
Least developed countries,,1981,,,,16937164,,,,,
Least developed countries,,1982,,,,17320524,,,,,
Least developed countries,,1983,,,,17699792,,,,,
Least developed countries,,1984,,,,18076480,,,,,
Least developed countries,,1985,,,,18474930,,,,,
Least developed countries,,1986,,,,18827392,,,,,
Least developed countries,,1987,,,,19175878,,,,,
Least developed countries,,1988,,,,19479156,,,,,
Least developed countries,,1989,,,,19799532,,,,,
Least developed countries,,1990,,,,20144618,,,,,
Least developed countries,,1991,,,,20426034,,,,,
Least developed countries,,1992,,,,20750932,,,,,
Least developed countries,,1993,,,,21168500,,,,,
Least developed countries,,1994,,,,21570042,,,,,
Least developed countries,,1995,,,,21983516,,,,,
Least developed countries,,1996,,,,22411564,,,,,
Least developed countries,,1997,,,,22786886,,,,,
Least developed countries,,1998,,,,23123352,,,,,
Least developed countries,,1999,,,,23498432,,,,,
Least developed countries,,2000,,,,23909562,,,,,
Least developed countries,,2001,,,,24316750,,,,,
Least developed countries,,2002,,,,24787886,,,,,
Least developed countries,,2003,,,,25230386,,,,,
Least developed countries,,2004,,,,25616948,,,,,
Least developed countries,,2005,,,,25997984,,,,,
Least developed countries,,2006,,,,26403134,,,,,
Least developed countries,,2007,,,,26821868,,,,,
Least developed countries,,2008,,,,27175590,,,,,
Least developed countries,,2009,,,,27525366,,,,,
Least developed countries,,2010,,,,27911948,,,,,
Least developed countries,,2011,,,,28279522,,,,,
Least developed countries,,2012,,,,28660906,,,,,
Least developed countries,,2013,,,,29085442,,,,,
Least developed countries,,2014,,,,29542450,,,,,
Least developed countries,,2015,,,,30012654,,,,,
Least developed countries,,2016,,,,30499424,,,,,
Least developed countries,,2017,,,,30970026,,,,,
Least developed countries,,2018,,,,31459572,,,,,
Least developed countries,,2019,,,,32012092,,,,,
Least developed countries,,2020,,,,32539800,,,,,
Least developed countries,,2021,,,,33029824,,,,,
Lebanon,LBN,1980,,,,88441,,,,,
Lebanon,LBN,1981,,1742,3483,90495,,,,,
Lebanon,LBN,1982,,3525,7931,90981,881,,,,
Lebanon,LBN,1983,,3546,5319,91391,7092,,,,
Lebanon,LBN,1984,,3610,3610,92761,14440,,,,
Lebanon,LBN,1985,,15615,15615,93063,21126,,,,
Lebanon,LBN,1986,,27814,27814,93646,27814,,,,
Lebanon,LBN,1987,,42866,42866,94419,36343,,,,
Lebanon,LBN,1988,,58795,57862,95180,44796,,,,
Lebanon,LBN,1989,,74553,73609,97166,54735,,,,
Lebanon,LBN,1990,,79212,79212,98054,58926,,,,
Lebanon,LBN,1991,,83898,83898,97038,63411,,,,
Lebanon,LBN,1992,,86984,85051,95683,73453,,,,
Lebanon,LBN,1993,,86672,86672,93927,83815,,,,
Lebanon,LBN,1994,,85994,86929,92026,82255,,,,
Lebanon,LBN,1995,,85276,85276,90462,77941,,77941,,
Lebanon,LBN,1996,,83932,84835,89806,76712,,76712,,
Lebanon,LBN,1997,,82432,82432,89240,79744,,79744,,
Lebanon,LBN,1998,,79238,79238,88355,73896,,73896,,
Lebanon,LBN,1999,75833,75833,75833,87849,67897,,67897,,
Lebanon,LBN,2000,72777,72777,72777,87441,62255,,62255,,
Lebanon,LBN,2001,69803,69803,69803,87206,56715,,56715,,
Lebanon,LBN,2002,66849,66849,66849,86720,51222,,51222,,
Lebanon,LBN,2003,63918,63918,63918,85751,45779,63918,45779,,
Lebanon,LBN,2004,64261,64261,63404,84626,49695,64261,49695,,
Lebanon,LBN,2005,65116,65116,62579,83400,53277,65116,53277,,
Lebanon,LBN,2006,65155,65155,62649,82841,57637,65155,37589,,
Lebanon,LBN,2007,66573,66573,62412,82858,61580,66573,61580,,
Lebanon,LBN,2008,67245,67245,62264,82942,65585,67245,65585,,
Lebanon,LBN,2009,67104,67104,62961,83746,66275,67932,66275,,
Lebanon,LBN,2010,67479,68313,64147,85587,66646,69146,66646,,
Lebanon,LBN,2011,68154,69858,67302,88096,69006,70710,69006,,
Lebanon,LBN,2012,71285,73958,71285,91280,72176,74849,72176,,
Lebanon,LBN,2013,78907,81866,79894,100148,80880,83839,80880,,
Lebanon,LBN,2014,87242,90514,88333,110660,89423,92695,89423,,
Lebanon,LBN,2015,90318,93705,91447,113966,92576,95962,92576,,
Lebanon,LBN,2016,90310,93697,91439,110261,92568,95955,92568,,
Lebanon,LBN,2017,87184,90453,88274,103302,89364,92633,89364,,
Lebanon,LBN,2018,81819,84887,82842,96262,83865,86933,83865,,
Lebanon,LBN,2019,76182,79038,77134,88318,78086,80943,78086,,
Lebanon,LBN,2020,61744,61744,58265,84703,64353,61744,64353,,
Lebanon,LBN,2021,55675,55675,53182,83772,55675,55675,55675,,
Lesotho,LSO,1980,,27107,27107,51495,23719,,,,39209
Lesotho,LSO,1981,,27714,26724,52456,24250,,,,40086
Lesotho,LSO,1982,,30812,29801,53413,25761,,,,42429
Lesotho,LSO,1983,,34006,32976,54425,27308,,,,44827
Lesotho,LSO,1984,,38912,37860,55421,33128,,,,46800
Lesotho,LSO,1985,,44009,42935,56283,39178,,,,48839
Lesotho,LSO,1986,,44339,43244,57275,41602,,,,48170
Lesotho,LSO,1987,,43907,43351,58605,43351,,,,46686
Lesotho,LSO,1988,,45282,44716,59499,44716,,,,48678
